site_id,sensor,period,valid_frac,B2,B3,B4,B8,B11,B12,NDVI,NDWI,VV,VH,VV_minus_VH
treatment_0010,sentinel2,before,1.0,0.03998826444149017,0.0628068596124649,0.04395923390984535,0.34174370765686035,0.22892701625823975,0.11355166882276535,0.7732120752334595,-0.6894044876098633,,,
treatment_0010,sentinel2,after,1.0,0.025973547250032425,0.05223287642002106,0.04188932105898857,0.3090021312236786,0.21993839740753174,0.11389556527137756,0.7616521120071411,-0.7126721143722534,,,
treatment_0010,sentinel2,change,1.0,-0.014014718122780323,-0.01057398784905672,-0.0020699147135019302,-0.03274160251021385,-0.008988598361611366,0.0003438876010477543,-0.011559933423995972,-0.02326756902039051,,,
treatment_0010,sentinel1,before,1.0,,,,,,,,,-10.578457832336426,-16.720571517944336,6.14211368560791
treatment_0010,sentinel1,after,1.0,,,,,,,,,-10.68436336517334,-16.657686233520508,5.973325729370117
treatment_0010,sentinel1,change,1.0,,,,,,,,,-0.1059056743979454,0.06288289278745651,-0.16878855228424072
treatment_0011,sentinel2,before,1.0,0.031147435307502747,0.049328871071338654,0.029054971411824226,0.34753432869911194,0.1857357621192932,0.08002225309610367,0.8443427681922913,-0.7494526505470276,,,
treatment_0011,sentinel2,after,1.0,0.015532732009887695,0.038444604724645615,0.028665192425251007,0.2829374372959137,0.17373111844062805,0.07925357669591904,0.8152484893798828,-0.7600839138031006,,,
treatment_0011,sentinel2,change,1.0,-0.015614699572324753,-0.010884261690080166,-0.00038977552321739495,-0.06459689140319824,-0.012004646472632885,-0.0007686695898883045,-0.029094353318214417,-0.010631314478814602,,,
treatment_0011,sentinel1,before,1.0,,,,,,,,,-9.168539047241211,-15.552644729614258,6.384106159210205
treatment_0011,sentinel1,after,1.0,,,,,,,,,-9.596548080444336,-15.539361953735352,5.942814350128174
treatment_0011,sentinel1,change,1.0,,,,,,,,,-0.42800870537757874,0.013283053413033485,-0.4412917494773865
treatment_0012,sentinel2,before,1.0,0.02885678969323635,0.04674866795539856,0.025294817984104156,0.34572088718414307,0.18576905131340027,0.07602182775735855,0.8627668619155884,-0.7609834671020508,,,
treatment_0012,sentinel2,after,1.0,0.0141158951446414,0.03647662326693535,0.024328628554940224,0.27983102202415466,0.17421163618564606,0.07720446586608887,0.8385792374610901,-0.7692496180534363,,,
treatment_0012,sentinel2,change,1.0,-0.014740893617272377,-0.010272041894495487,-0.0009661894873715937,-0.06588984280824661,-0.01155743096023798,0.0011826390400528908,-0.024187613278627396,-0.008266141638159752,,,
treatment_0012,sentinel1,before,1.0,,,,,,,,,-8.544684410095215,-14.926788330078125,6.38210391998291
treatment_0012,sentinel1,after,1.0,,,,,,,,,-8.742095947265625,-14.918769836425781,6.176672458648682
treatment_0012,sentinel1,change,1.0,,,,,,,,,-0.19741123914718628,0.008020207285881042,-0.2054314762353897
treatment_0013,sentinel2,before,0.9900990099009901,0.03433189541101456,0.05450141057372093,0.03231361135840416,0.3870772123336792,0.2011415809392929,0.08743078261613846,0.8461621999740601,-0.7527450919151306,,,
treatment_0013,sentinel2,after,0.9900990099009901,0.01899416372179985,0.04199341684579849,0.032723233103752136,0.30143678188323975,0.1887921541929245,0.08733463287353516,0.8033685684204102,-0.7569318413734436,,,
treatment_0013,sentinel2,change,0.9900990099009901,-0.015337727032601833,-0.012507995590567589,0.00040961874765343964,-0.08564043790102005,-0.012349436059594154,-9.614840382710099e-05,-0.042793598026037216,-0.0041867820546031,,,
treatment_0013,sentinel1,before,0.9900990099009901,,,,,,,,,-9.204663276672363,-15.813214302062988,6.60854959487915
treatment_0013,sentinel1,after,0.9900990099009901,,,,,,,,,-9.448336601257324,-15.68967342376709,6.241337299346924
treatment_0013,sentinel1,change,0.9900990099009901,,,,,,,,,-0.24367208778858185,0.12354008853435516,-0.3672121465206146
treatment_0014,sentinel2,before,1.0,0.034498050808906555,0.0540422648191452,0.03013073466718197,0.37833836674690247,0.20849892497062683,0.08765216916799545,0.8516400456428528,-0.7492820024490356,,,
treatment_0014,sentinel2,after,1.0,0.016343995928764343,0.04214470833539963,0.028984270989894867,0.31017136573791504,0.19703705608844757,0.08917789906263351,0.8277873396873474,-0.7611566185951233,,,
treatment_0014,sentinel2,change,1.0,-0.018154054880142212,-0.011897549033164978,-0.0011464611161500216,-0.06816695630550385,-0.011461877264082432,0.001525722909718752,-0.023852627724409103,-0.011874600313603878,,,
treatment_0014,sentinel1,before,1.0,,,,,,,,,-8.28780460357666,-14.749792098999023,6.46198844909668
treatment_0014,sentinel1,after,1.0,,,,,,,,,-8.61440658569336,-14.779058456420898,6.164649963378906
treatment_0014,sentinel1,change,1.0,,,,,,,,,-0.32660460472106934,-0.0292664747685194,-0.2973381578922272
treatment_0015,sentinel2,before,0.9900990099009901,0.04101495444774628,0.06134937331080437,0.04596425220370293,0.35097792744636536,0.20911070704460144,0.10675200819969177,0.7743794918060303,-0.7040629386901855,,,
treatment_0015,sentinel2,after,0.9900990099009901,0.025333767756819725,0.048545900732278824,0.04931989684700966,0.2652762532234192,0.20960332453250885,0.11853312700986862,0.6972336173057556,-0.6980473399162292,,,
treatment_0015,sentinel2,change,0.9900990099009901,-0.015681186690926552,-0.012803474441170692,0.0033556437119841576,-0.08570171147584915,0.0004926331457681954,0.011781108565628529,-0.07714583724737167,0.00601552939042449,,,
treatment_0015,sentinel1,before,0.9900990099009901,,,,,,,,,-10.911248207092285,-17.10793685913086,6.196690082550049
treatment_0015,sentinel1,after,0.9899029506911087,,,,,,,,,-10.672348022460938,-16.64268684387207,5.9703369140625
treatment_0015,sentinel1,change,0.9899029506911087,,,,,,,,,0.23849816620349884,0.464916855096817,-0.2264186441898346
treatment_0016,sentinel2,before,1.0,0.038847554475069046,0.06553573161363602,0.04422256723046303,0.3775804042816162,0.21479257941246033,0.10594221949577332,0.7906960248947144,-0.7048476934432983,,,
treatment_0016,sentinel2,after,1.0,0.022798234596848488,0.04656597226858139,0.04557707533240318,0.2756499648094177,0.21634094417095184,0.11737823486328125,0.7180383801460266,-0.7121224403381348,,,
treatment_0016,sentinel2,change,1.0,-0.01604931801557541,-0.01896975375711918,0.0013545142719522119,-0.10193045437335968,0.0015483825700357556,0.011436010710895061,-0.07265767455101013,-0.0072747161611914635,,,
treatment_0016,sentinel1,before,1.0,,,,,,,,,-10.403518676757812,-16.61814308166504,6.214622974395752
treatment_0016,sentinel1,after,0.9999019703950593,,,,,,,,,-10.867197036743164,-16.588821411132812,5.721622943878174
treatment_0016,sentinel1,change,0.9999019703950593,,,,,,,,,-0.46380147337913513,0.02921164035797119,-0.49301308393478394
