site_id,sensor,band,valid_before,valid_after,valid_both,chg_p01,chg_p05,chg_p50,chg_p95,chg_p99,frac_below_t1,frac_below_t2
treatment_0014,sentinel2,NDVI,1.0,1.0,1.0,-0.1481587290763855,-0.10385560989379883,-0.018966734409332275,0.04357784986495972,0.08274286985397339,0.05675914126066072,0.0038231545926869915
treatment_0014,sentinel1,VV,1.0,1.0,1.0,-3.868021011352539,-2.733032464981079,-0.3242168426513672,2.015188217163086,2.968210458755493,0.12028232526222919,0.008724634839721596
treatment_0015,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.6008520174026489,-0.2727129369974136,-0.0714307427406311,0.1209951609373092,0.2539354383945466,0.3713861386138614,0.10910891089108911
treatment_0015,sentinel1,VV,0.9900990099009901,0.9899029506911087,0.9899029506911087,-5.310116291046143,-3.664025664329529,0.2630648612976074,4.008063316345214,5.715607914924622,0.16953852247969894,0.03782927312339077
treatment_0016,sentinel2,NDVI,1.0,1.0,1.0,-0.3434741795063019,-0.20223510265350342,-0.062313973903656006,0.023502588272094727,0.07056272029876709,0.2877168905009313,0.05215174982844819
treatment_0016,sentinel1,VV,1.0,0.9999019703950593,0.9999019703950593,-6.208308825492859,-4.374360418319702,-0.41614770889282227,3.2923924207687376,4.926814498901372,0.24980392156862746,0.06696078431372549
treatment_0017,sentinel2,NDVI,1.0,1.0,1.0,-0.32676559686660767,-0.24102485179901123,-0.08301961421966553,0.003388702869415283,0.10376977920532227,0.4262327222821292,0.10332320360748946
treatment_0017,sentinel1,VV,1.0,1.0,1.0,-5.749122142791748,-3.8777613639831543,-0.022112369537353516,3.553131103515625,4.990642070770264,0.1945887658072738,0.04656406234682874
treatment_0018,sentinel2,NDVI,1.0,1.0,1.0,-0.34645533561706543,-0.218944251537323,-0.07771658897399902,0.006531119346618652,0.05245208740234375,0.3746691500833252,0.07175767081658661
treatment_0018,sentinel1,VV,1.0,1.0,1.0,-5.127150535583496,-3.6121625900268555,0.25070858001708984,3.924689292907715,5.470330238342285,0.165866091559651,0.035976865013233994
treatment_0019,sentinel2,NDVI,1.0,1.0,1.0,-0.25809043645858765,-0.18559753894805908,-0.07138663530349731,-0.013501405715942383,0.006244003772735596,0.32153710420547005,0.031859621605724926
treatment_0019,sentinel1,VV,1.0,1.0,1.0,-5.731924533843994,-3.988886833190918,-0.17272090911865234,3.461613178253174,4.983644485473633,0.21105773943731007,0.04872071365552397
treatment_0020,sentinel2,NDVI,1.0,1.0,1.0,-0.2920626401901245,-0.22034543752670288,-0.08624649047851562,0.03627181053161621,0.19057154655456543,0.4265268110969513,0.07773747671796882
treatment_0020,sentinel1,VV,1.0,1.0,1.0,-5.81611442565918,-4.155638694763184,-0.22564411163330078,3.390880584716797,4.752673149108887,0.22860503872169396,0.05773943731006764
treatment_0021,sentinel2,NDVI,1.0,1.0,1.0,-0.2821583151817322,-0.15333712100982666,-0.054732322692871094,0.0659227967262268,0.14869993925094604,0.19233408489363787,0.024115282815410255
treatment_0021,sentinel1,VV,1.0,1.0,1.0,-6.118044853210449,-4.138238906860352,-0.22428321838378906,3.306467056274414,4.6961140632629395,0.22125281835114205,0.055484756396431724
