arm,sensor,treatment_site_id,fit_window,donor,weight,lambda,lambda_at_boundary,weight_distance_from_scm,n_negative_weights,sum_negative_weight,n_train_periods
main,sentinel2,treatment_0002,P01-09,counterfactual_0003_04,0.17815642674601964,0.0001,True,2.5212506676347365e-08,0,-0.0,9
main,sentinel2,treatment_0003,P01-08,counterfactual_0004_05,0.29949048256750804,10000.0,True,7.532970840499925e-08,0,-0.0,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0008_03,0.11958527153177341,10000.0,True,7.532970840499925e-08,0,-0.0,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0003_05,0.24594664436006325,10000.0,True,7.532970840499925e-08,0,-0.0,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0009_03,0.10075179181315887,10000.0,True,7.532970840499925e-08,0,-0.0,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0005_05,0.23422580972749646,10000.0,True,7.532970840499925e-08,0,-0.0,8
main,sentinel2,treatment_0003,P01-09,counterfactual_0004_05,0.33152808422231245,0.0001,True,2.386320038461106e-07,0,-0.0,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0008_03,0.09917190623550111,0.0001,True,2.386320038461106e-07,0,-0.0,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0003_05,0.23313654019900934,0.0001,True,2.386320038461106e-07,0,-0.0,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0009_03,0.1031476561442877,0.0001,True,2.386320038461106e-07,0,-0.0,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0005_05,0.23301581319888934,0.0001,True,2.386320038461106e-07,0,-0.0,9
main,sentinel2,treatment_0004,P01-08,counterfactual_0004_04,0.7157632969684552,10000.0,True,3.4323777355449285e-08,0,-0.0,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0006_03,0.10236094752370647,10000.0,True,3.4323777355449285e-08,0,-0.0,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0002_02,0.11374484124999192,10000.0,True,3.4323777355449285e-08,0,-0.0,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0006_01,0.04207287125698929,10000.0,True,3.4323777355449285e-08,0,-0.0,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0003_03,0.026058043000857185,10000.0,True,3.4323777355449285e-08,0,-0.0,8
main,sentinel2,treatment_0004,P01-09,counterfactual_0004_04,0.7261095503017465,0.0001,True,3.30344846060189e-07,0,-0.0,9
