sensor,site_id,role,target_site,control_rank,seq,period_id,month,usable,mean_VV,mean_VH,mean_VV_minus_VH,mean_B2,mean_B3,mean_B4,mean_B8,mean_B11,mean_B12,mean_NDVI,mean_NDWI
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,6,P06,2024-04,True,-11.123900901306003,-17.28935787039941,6.169149250383887,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,7,P07,2024-05,True,-11.231261389227594,-17.293230392666217,6.069041580281088,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,8,P08,2024-06,True,-11.340809992798029,-17.32830917544253,5.987499184434659,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,9,P09,2024-07,True,-10.664476131180603,-16.77713219351236,6.104853392815213,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,10,P10,2024-08,True,-10.537210023089981,-16.545765388293567,6.008555352933243,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,1,P01,2023-11,True,-9.780660772870515,-15.299685946820636,5.519025181226871,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,2,P02,2023-12,True,-9.873325913046028,-15.417424143441647,5.563507181223445,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,3,P03,2024-01,True,-11.197444974482147,-17.965511587341325,6.768066627106653,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,4,P04,2024-02,True,-9.88549129920384,-15.67129700549174,5.785805694769848,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,5,P05,2024-03,True,-9.89879500240578,-15.546908834543594,5.648113848366448,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,6,P06,2024-04,True,-9.742460841680202,-15.29134863253353,5.572618446506668,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,7,P07,2024-05,True,-9.750683701494262,-16.100887034946933,6.367981840121157,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,8,P08,2024-06,True,-10.17429042679342,-16.582669124429383,6.408378700139697,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,9,P09,2024-07,True,-9.62061972946364,-15.995990580126954,6.375629535105027,,,,,,,,
sentinel1,counterfactual_0016_05,donor,treatment_0016,5,10,P10,2024-08,True,-10.457330011179746,-16.69194165188569,6.234611644091974,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,1,P01,2023-11,True,-7.171767290781297,-12.448633158000098,5.276865867701579,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,2,P02,2023-12,True,-7.339659288631121,-12.682371036502243,5.328986010524197,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,3,P03,2024-01,True,-8.677825900863787,-15.171516764480662,6.4936908560896045,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,4,P04,2024-02,True,-7.296700031844153,-12.779915236781688,5.483215211397725,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,5,P05,2024-03,True,-7.44450966365772,-12.758730231763195,5.314220575356297,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,6,P06,2024-04,True,-7.170101864284505,-12.654078074967483,5.4941642065315675,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,7,P07,2024-05,True,-7.17751029419881,-13.533092169899085,6.3710321929704214,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,8,P08,2024-06,True,-7.359182874831793,-13.826129787307828,6.466946907596382,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,9,P09,2024-07,True,-7.091177973644354,-13.487003284486505,6.416943114053696,,,,,,,,
sentinel1,treatment_0017,target,treatment_0017,0,10,P10,2024-08,True,-7.41302186777581,-13.999284397327553,6.586262528743946,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,1,P01,2023-11,True,-8.865725813327076,-14.101290210042908,5.235564400455365,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,2,P02,2023-12,True,-9.18250382482953,-14.374555924139518,5.204009928124351,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,3,P03,2024-01,True,-10.561181953521046,-16.654511381978907,6.0933294210576765,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,4,P04,2024-02,True,-9.310742368488706,-14.522048146476255,5.211305781686181,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,5,P05,2024-03,True,-9.25761159580486,-14.42615184044443,5.168540247768711,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,6,P06,2024-04,True,-8.964072387319677,-14.116743475090649,5.1528020689011775,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,7,P07,2024-05,True,-9.213772779702555,-15.172217442000477,5.932688511722174,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,8,P08,2024-06,True,-9.395989753886562,-15.509275045246252,6.113285292247828,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,9,P09,2024-07,True,-9.190167321070609,-15.164783375600473,5.9945788115482825,,,,,,,,
sentinel1,counterfactual_0017_01,donor,treatment_0017,1,10,P10,2024-08,True,-9.700799164334041,-15.925476051314112,6.224676878513536,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,1,P01,2023-11,True,-8.114813686562407,-13.161257394422867,5.046443709108674,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,2,P02,2023-12,True,-8.370162457721442,-13.382621687447928,5.007750397345765,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,3,P03,2024-01,True,-9.46744643937208,-15.552270155398942,6.084823718914044,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,4,P04,2024-02,True,-8.45948294974895,-13.5528504660335,5.093367520151168,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,5,P05,2024-03,True,-8.49392839415484,-13.598147956287962,5.104219567365854,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,6,P06,2024-04,True,-8.19775316757544,-13.213646036166208,5.00754018171184,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,7,P07,2024-05,True,-8.19638153165944,-14.261935032695991,6.038656947690416,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,8,P08,2024-06,True,-8.447042572414766,-14.741322297931196,6.294279731985384,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,9,P09,2024-07,True,-8.134279155774879,-14.349183593494216,6.209205454150038,,,,,,,,
sentinel1,counterfactual_0017_02,donor,treatment_0017,2,10,P10,2024-08,True,-8.848135424132394,-15.204206137035001,6.356070703539167,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,1,P01,2023-11,True,-9.711028155386769,-15.17066615502655,5.459638006966928,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,2,P02,2023-12,True,-9.946297689975799,-15.731588298392616,5.78733054409146,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,3,P03,2024-01,True,-11.129891977107077,-18.178321495370273,7.048429519500456,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,4,P04,2024-02,True,-9.835018392607354,-15.95085926498108,6.115840866636244,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,5,P05,2024-03,True,-10.134882720883173,-15.982313734259678,5.847431025534369,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,6,P06,2024-04,True,-9.960802687550965,-15.702209650751493,5.757439799085676,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,7,P07,2024-05,True,-9.627663232703599,-15.92047326362153,6.3125715780294405,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,8,P08,2024-06,True,-9.920715934037577,-16.468956712811217,6.548240774982982,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,9,P09,2024-07,True,-9.409531481791193,-15.940769795985354,6.531536173819327,,,,,,,,
sentinel1,counterfactual_0017_03,donor,treatment_0017,3,10,P10,2024-08,True,-9.851247757173685,-16.27458605342327,6.423338286176217,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,1,P01,2023-11,True,-8.434829732672851,-13.490031867293258,5.055202140361173,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,2,P02,2023-12,True,-8.634644525639992,-13.786202620459635,5.190217942140215,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,3,P03,2024-01,True,-9.81494654405235,-16.082052694537012,6.267106146482192,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,4,P04,2024-02,True,-8.604968225159267,-14.027304161998433,5.422335935555163,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,5,P05,2024-03,True,-8.826300187381316,-14.063872859940998,5.23757268450957,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,6,P06,2024-04,True,-8.555996513053513,-13.636048184202156,5.058678049318537,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,7,P07,2024-05,True,-8.493501026938212,-14.688821029130203,6.202920103797508,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,8,P08,2024-06,True,-8.85797207740671,-15.197917550349397,6.339945471218995,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,9,P09,2024-07,True,-8.436681130848939,-14.882559724934323,6.43885997511025,,,,,,,,
sentinel1,counterfactual_0017_04,donor,treatment_0017,4,10,P10,2024-08,True,-9.041141197811376,-15.497738456669982,6.456597263667411,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,1,P01,2023-11,True,-10.377520192406854,-15.43044836728459,5.0529281725317645,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,2,P02,2023-12,True,-10.681780748794552,-15.66245031473672,5.012803752335008,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,3,P03,2024-01,True,-11.93941310573683,-17.858071009910127,5.918657917254357,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,4,P04,2024-02,True,-10.683990302664101,-15.860337641154793,5.176347337094209,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,5,P05,2024-03,True,-10.810695006349322,-15.711289142653143,4.900594129583018,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,6,P06,2024-04,True,-10.509136623429873,-15.476067684571097,4.977066650076987,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,7,P07,2024-05,True,-10.600229005184422,-16.779099158990174,6.163253427269688,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,8,P08,2024-06,True,-10.98180658884369,-17.246934669273248,6.265128083738897,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,9,P09,2024-07,True,-10.810428019236518,-16.932581912301448,6.154735423457579,,,,,,,,
sentinel1,counterfactual_0017_05,donor,treatment_0017,5,10,P10,2024-08,True,-11.264827865792798,-17.46144985009754,6.196621977088615,,,,,,,,
sentinel1,treatment_0018,target,treatment_0018,0,1,P01,2023-11,True,-8.577559641645026,-14.048393654405235,5.470834014234841,,,,,,,,
sentinel1,treatment_0018,target,treatment_0018,0,2,P02,2023-12,True,-8.912026661335245,-14.333243302358925,5.433865101560811,,,,,,,,
