method,sensor,site_id,ok,nmse_VV,nmse_VH,nmse_VV-VH,nmse10_VV,nmse10_VH,nmse10_VV-VH,joint_nmse,joint_nmse_p10var,selected_blocks,weights,her_stored_joint_nmse,nmse_B2,nmse_B3,nmse_B4,nmse_B8,nmse_B11,nmse_B12,nmse_NDVI,nmse_NDWI,nmse10_B2,nmse10_B3,nmse10_B4,nmse10_B8,nmse10_B11,nmse10_B12,nmse10_NDVI,nmse10_NDWI
ensemble,sentinel2,treatment_0008,True,,,,,,,0.22911464153757957,0.21975810003972795,,,,8.991272663810055e-05,0.03252381704505356,0.20717659792061158,0.01104061453776641,1.1059166813220804,0.4357334920430427,0.039800775812198465,0.0006352408932453793,9.957865520188973e-05,0.03629404600605176,0.18974268642965414,0.01207123122595911,1.1076369253156855,0.3738277305129968,0.03777440943375817,0.0006181927385164051
Kimi-K3-thinking-low [noguide],sentinel2,treatment_0008,True,,,,,,,0.29862443845913045,0.28499237865588023,,,,0.011297820510946317,0.00040560878055456305,0.30942244930011203,0.005524347040649119,1.4208629357268692,0.5964158363994054,0.044119852768378015,0.0009466571461290872,0.012512375224928754,0.0004526277995449724,0.28338454903262855,0.006040032488409781,1.423073075941047,0.5116815269760727,0.041873590366523626,0.0009212514178862996
gpt-oss-120b [noguide],sentinel2,treatment_0008,True,,,,,,,0.18119320860254795,0.17438950122034716,,,,0.007625959845481014,0.04356526980089712,0.1253695182112685,0.03893496951293413,0.8303800461869972,0.37457413154519353,0.028178148505293637,0.0009176252123183884,0.008445776859744585,0.04861544708081215,0.11481967278424414,0.042569461886256495,0.8316716952876826,0.32135743536231165,0.026743521878736163,0.0008929986229895921
Kimi-K3-thinking-low [anon],sentinel2,treatment_0008,True,,,,,,,0.2197471837356071,0.21006687903466312,,,,0.0017432203321684917,0.00040560878055456305,0.16371821160717057,0.005524347040649119,1.1059166813220804,0.45714721239154826,0.023117549355260256,0.0004046390554251489,0.0019306225368586713,0.0004526277995449724,0.14994132348725378,0.006040032488409781,1.1076369253156855,0.3921991493410245,0.021940571675566987,0.00039377963296097007
gpt-oss-120b [anon],sentinel2,treatment_0008,True,,,,,,,0.24405877645190366,0.23503981771240923,,,,0.007625959845481014,0.04356526980089712,0.16371821160717057,0.007503942989819716,1.2271660287716313,0.45714721239154826,0.028178148505293637,0.017565437703387643,0.008445776859744585,0.04861544708081215,0.14994132348725378,0.008204419294476522,1.229074875094147,0.3921991493410245,0.026743521878736163,0.017094028663079158
Kimi-K3-thinking-low [nocal],sentinel2,treatment_0008,True,,,,,,,0.718953099806204,0.6784718872918157,,,,0.029183067313346866,0.012473495421235777,1.1272332812499712,0.02946752196660668,2.6021594145594693,1.5701210057285575,0.2940291432399207,0.0869578689705238,0.0323203478126742,0.013919449123929286,1.0323765964109624,0.032218249273912335,2.606207051401286,1.347049935156947,0.2790593151904792,0.08462415396433527
gpt-oss-120b [nocal],sentinel2,treatment_0008,True,,,,,,,0.3425337223515305,0.351348487812289,,,,0.6356222607577233,0.27997930152228623,0.36758599802159364,0.3347771952694189,0.21349545524715383,0.024711675303288244,0.15293701366074344,0.7311608790300365,0.7039538484624038,0.3124350882959334,0.3366536349113577,0.36602789812574843,0.21382754561232656,0.02120082496410392,0.14515057190987157,0.7115384902165666
Kimi-K3-thinking-low [rule],sentinel2,treatment_0008,True,,,,,,,0.3335300020372278,0.31716047802191816,,,,0.029183067313346866,0.00040560878055456305,0.36820991436617123,0.002368531191873257,1.4208629357268692,0.6995342542301943,0.09300107208624779,0.05467463260256508,0.0323203478126742,0.0004526277995449724,0.33722504869320236,0.0025896282842950134,1.423073075941047,0.6001496498440915,0.08826613308597042,0.0532073127145202
gpt-oss-120b [rule],sentinel2,treatment_0008,True,,,,,,,0.2947964933205995,0.2878786267241662,,,,0.0017432203321684917,0.22835504797720815,0.20717659792061158,0.002368531191873257,1.4208629357268692,0.45714721239154826,0.039800775812198465,0.0009176252123183884,0.0019306225368586713,0.2548264432037024,0.18974268642965414,0.0025896282842950134,1.423073075941047,0.3921991493410245,0.03777440943375817,0.0008929986229895921
own_mean,sentinel2,treatment_0009,True,,,,,,,1.0690742825537627,1.0123224585466586,,,,0.19194651243534913,0.06765036243685951,2.0715643629072,0.22288557891713598,0.7867285015703998,2.329251928919619,1.5739866435518972,1.3085803696916414,0.21137538998598968,0.07553181037736859,1.8900353072239353,0.2446127038203607,0.8131041873835967,2.0763261637988997,1.5043537875143933,1.2832403182687242
