group,site_id,seq,n_valid_parcels,masked
4,counterfactual_0004_03,12,196,True
4,counterfactual_0004_03,13,0,False
4,counterfactual_0004_03,14,0,False
4,counterfactual_0004_03,16,167,True
4,counterfactual_0004_03,17,0,False
4,counterfactual_0004_03,18,100,True
4,counterfactual_0004_03,19,196,True
4,counterfactual_0004_03,20,196,True
4,counterfactual_0004_04,1,106,True
4,counterfactual_0004_04,2,190,True
4,counterfactual_0004_04,3,0,False
4,counterfactual_0004_04,4,89,True
4,counterfactual_0004_04,5,196,True
4,counterfactual_0004_04,6,67,True
4,counterfactual_0004_04,7,107,True
4,counterfactual_0004_04,8,185,True
4,counterfactual_0004_04,9,25,True
4,counterfactual_0004_04,10,196,True
4,counterfactual_0004_04,11,196,True
4,counterfactual_0004_04,12,196,True
4,counterfactual_0004_04,13,0,False
4,counterfactual_0004_04,14,73,True
4,counterfactual_0004_04,16,15,True
4,counterfactual_0004_04,17,0,False
4,counterfactual_0004_04,18,9,False
4,counterfactual_0004_04,19,193,True
4,counterfactual_0004_04,20,196,True
4,counterfactual_0004_05,1,4,False
4,counterfactual_0004_05,2,9,False
4,counterfactual_0004_05,3,0,False
4,counterfactual_0004_05,4,141,True
4,counterfactual_0004_05,5,124,True
4,counterfactual_0004_05,6,24,True
4,counterfactual_0004_05,7,177,True
4,counterfactual_0004_05,8,196,True
4,counterfactual_0004_05,9,189,True
4,counterfactual_0004_05,10,196,True
4,counterfactual_0004_05,11,196,True
4,counterfactual_0004_05,12,196,True
4,counterfactual_0004_05,13,2,False
4,counterfactual_0004_05,14,48,True
4,counterfactual_0004_05,16,144,True
4,counterfactual_0004_05,17,8,False
4,counterfactual_0004_05,18,80,True
4,counterfactual_0004_05,19,184,True
4,counterfactual_0004_05,20,196,True
5,treatment_0005,1,102,True
5,treatment_0005,2,196,True
5,treatment_0005,3,146,True
5,treatment_0005,4,2,False
5,treatment_0005,5,132,True
5,treatment_0005,6,0,False
5,treatment_0005,7,18,True
5,treatment_0005,8,196,True
5,treatment_0005,9,80,True
5,treatment_0005,10,196,True
5,treatment_0005,11,196,True
5,treatment_0005,12,196,True
5,treatment_0005,13,0,False
5,treatment_0005,14,84,True
5,treatment_0005,16,36,True
5,treatment_0005,17,12,True
5,treatment_0005,18,12,True
5,treatment_0005,19,182,True
5,treatment_0005,20,196,True
5,counterfactual_0005_01,1,133,True
5,counterfactual_0005_01,2,118,True
5,counterfactual_0005_01,3,12,True
5,counterfactual_0005_01,4,95,True
5,counterfactual_0005_01,5,180,True
5,counterfactual_0005_01,6,45,True
5,counterfactual_0005_01,7,196,True
5,counterfactual_0005_01,8,196,True
5,counterfactual_0005_01,9,196,True
5,counterfactual_0005_01,10,196,True
5,counterfactual_0005_01,11,196,True
5,counterfactual_0005_01,12,196,True
5,counterfactual_0005_01,13,0,False
5,counterfactual_0005_01,14,67,True
5,counterfactual_0005_01,16,108,True
5,counterfactual_0005_01,17,0,False
5,counterfactual_0005_01,18,0,False
5,counterfactual_0005_01,19,173,True
5,counterfactual_0005_01,20,179,True
5,counterfactual_0005_02,1,43,True
5,counterfactual_0005_02,2,191,True
5,counterfactual_0005_02,3,0,False
5,counterfactual_0005_02,4,146,True
5,counterfactual_0005_02,5,178,True
5,counterfactual_0005_02,6,0,False
5,counterfactual_0005_02,7,126,True
5,counterfactual_0005_02,8,196,True
5,counterfactual_0005_02,9,87,True
5,counterfactual_0005_02,10,188,True
5,counterfactual_0005_02,11,196,True
5,counterfactual_0005_02,12,196,True
5,counterfactual_0005_02,13,0,False
5,counterfactual_0005_02,14,110,True
5,counterfactual_0005_02,16,29,True
5,counterfactual_0005_02,17,0,False
5,counterfactual_0005_02,18,12,True
5,counterfactual_0005_02,19,195,True
5,counterfactual_0005_02,20,196,True
5,counterfactual_0005_03,1,175,True
5,counterfactual_0005_03,2,18,True
5,counterfactual_0005_03,3,0,False
5,counterfactual_0005_03,4,160,True
5,counterfactual_0005_03,5,188,True
5,counterfactual_0005_03,6,41,True
5,counterfactual_0005_03,7,196,True
5,counterfactual_0005_03,8,174,True
5,counterfactual_0005_03,9,196,True
5,counterfactual_0005_03,10,196,True
5,counterfactual_0005_03,11,196,True
5,counterfactual_0005_03,12,196,True
5,counterfactual_0005_03,13,1,False
5,counterfactual_0005_03,14,76,True
5,counterfactual_0005_03,16,62,True
5,counterfactual_0005_03,17,0,False
5,counterfactual_0005_03,18,9,False
5,counterfactual_0005_03,19,196,True
5,counterfactual_0005_03,20,184,True
5,counterfactual_0005_04,1,196,True
5,counterfactual_0005_04,2,137,True
5,counterfactual_0005_04,3,0,False
5,counterfactual_0005_04,4,196,True
5,counterfactual_0005_04,5,196,True
5,counterfactual_0005_04,6,127,True
5,counterfactual_0005_04,7,196,True
5,counterfactual_0005_04,8,196,True
5,counterfactual_0005_04,9,141,True
5,counterfactual_0005_04,10,196,True
5,counterfactual_0005_04,11,196,True
5,counterfactual_0005_04,12,196,True
5,counterfactual_0005_04,13,76,True
5,counterfactual_0005_04,14,78,True
5,counterfactual_0005_04,16,29,True
5,counterfactual_0005_04,17,0,False
5,counterfactual_0005_04,18,102,True
5,counterfactual_0005_04,19,183,True
5,counterfactual_0005_04,20,196,True
5,counterfactual_0005_05,1,196,True
5,counterfactual_0005_05,2,191,True
5,counterfactual_0005_05,3,149,True
5,counterfactual_0005_05,4,154,True
5,counterfactual_0005_05,5,196,True
5,counterfactual_0005_05,6,16,True
5,counterfactual_0005_05,7,196,True
5,counterfactual_0005_05,8,91,True
5,counterfactual_0005_05,9,56,True
5,counterfactual_0005_05,10,196,True
5,counterfactual_0005_05,11,196,True
5,counterfactual_0005_05,12,196,True
5,counterfactual_0005_05,13,90,True
5,counterfactual_0005_05,14,25,True
5,counterfactual_0005_05,16,0,False
5,counterfactual_0005_05,17,97,True
5,counterfactual_0005_05,18,23,True
5,counterfactual_0005_05,19,134,True
5,counterfactual_0005_05,20,196,True
6,treatment_0006,1,89,True
6,treatment_0006,2,126,True
6,treatment_0006,3,41,True
6,treatment_0006,4,196,True
6,treatment_0006,5,196,True
6,treatment_0006,6,0,False
6,treatment_0006,7,5,False
6,treatment_0006,8,196,True
6,treatment_0006,9,195,True
6,treatment_0006,10,196,True
6,treatment_0006,11,196,True
6,treatment_0006,12,196,True
6,treatment_0006,13,0,False
6,treatment_0006,14,196,True
6,treatment_0006,16,88,True
6,treatment_0006,17,4,False
6,treatment_0006,18,11,True
6,treatment_0006,19,182,True
6,treatment_0006,20,196,True
6,counterfactual_0006_01,1,194,True
6,counterfactual_0006_01,2,195,True
6,counterfactual_0006_01,3,0,False
6,counterfactual_0006_01,4,196,True
6,counterfactual_0006_01,5,185,True
6,counterfactual_0006_01,6,0,False
6,counterfactual_0006_01,7,23,True
6,counterfactual_0006_01,8,196,True
6,counterfactual_0006_01,9,130,True
6,counterfactual_0006_01,10,196,True
6,counterfactual_0006_01,11,196,True
6,counterfactual_0006_01,12,196,True
6,counterfactual_0006_01,13,0,False
6,counterfactual_0006_01,14,196,True
6,counterfactual_0006_01,16,130,True
6,counterfactual_0006_01,17,0,False
6,counterfactual_0006_01,18,78,True
6,counterfactual_0006_01,19,179,True
6,counterfactual_0006_01,20,196,True
6,counterfactual_0006_02,1,29,True
6,counterfactual_0006_02,2,71,True
6,counterfactual_0006_02,3,9,False
6,counterfactual_0006_02,4,196,True
6,counterfactual_0006_02,5,143,True
6,counterfactual_0006_02,6,0,False
6,counterfactual_0006_02,7,190,True
6,counterfactual_0006_02,8,196,True
6,counterfactual_0006_02,9,92,True
6,counterfactual_0006_02,10,196,True
6,counterfactual_0006_02,11,196,True
6,counterfactual_0006_02,12,196,True
6,counterfactual_0006_02,13,0,False
6,counterfactual_0006_02,14,196,True
6,counterfactual_0006_02,16,90,True
6,counterfactual_0006_02,17,0,False
6,counterfactual_0006_02,18,82,True
6,counterfactual_0006_02,19,185,True
6,counterfactual_0006_02,20,196,True
6,counterfactual_0006_03,1,147,True
6,counterfactual_0006_03,2,174,True
6,counterfactual_0006_03,3,0,False
6,counterfactual_0006_03,4,195,True
6,counterfactual_0006_03,5,196,True
6,counterfactual_0006_03,6,31,True
6,counterfactual_0006_03,7,0,False
6,counterfactual_0006_03,8,196,True
6,counterfactual_0006_03,9,126,True
6,counterfactual_0006_03,10,196,True
6,counterfactual_0006_03,11,196,True
6,counterfactual_0006_03,12,196,True
6,counterfactual_0006_03,13,59,True
6,counterfactual_0006_03,14,190,True
6,counterfactual_0006_03,16,188,True
6,counterfactual_0006_03,17,0,False
6,counterfactual_0006_03,18,97,True
6,counterfactual_0006_03,19,194,True
6,counterfactual_0006_03,20,196,True
6,counterfactual_0006_04,1,196,True
6,counterfactual_0006_04,2,188,True
6,counterfactual_0006_04,3,0,False
6,counterfactual_0006_04,4,184,True
6,counterfactual_0006_04,5,196,True
6,counterfactual_0006_04,6,0,False
6,counterfactual_0006_04,7,0,False
6,counterfactual_0006_04,8,196,True
6,counterfactual_0006_04,9,74,True
6,counterfactual_0006_04,10,196,True
6,counterfactual_0006_04,11,196,True
6,counterfactual_0006_04,12,196,True
6,counterfactual_0006_04,13,19,True
6,counterfactual_0006_04,14,193,True
6,counterfactual_0006_04,16,26,True
6,counterfactual_0006_04,17,41,True
6,counterfactual_0006_04,18,56,True
6,counterfactual_0006_04,19,148,True
6,counterfactual_0006_04,20,196,True
6,counterfactual_0006_05,1,0,False
6,counterfactual_0006_05,2,2,False
6,counterfactual_0006_05,3,0,False
6,counterfactual_0006_05,4,196,True
6,counterfactual_0006_05,5,196,True
6,counterfactual_0006_05,6,35,True
6,counterfactual_0006_05,7,147,True
6,counterfactual_0006_05,8,196,True
6,counterfactual_0006_05,9,177,True
