variant,sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
unitnorm,sentinel1,treatment_0008,P18,1.036058699914761,True,True
unitnorm,sentinel1,treatment_0008,P19,1.0101328148223048,True,True
unitnorm,sentinel1,treatment_0008,P20,0.9986896645699386,True,True
unitnorm,sentinel1,treatment_0009,P11,0.9778572143374905,True,True
unitnorm,sentinel1,treatment_0009,P12,,True,False
unitnorm,sentinel1,treatment_0009,P13,1.0087451946306294,True,True
unitnorm,sentinel1,treatment_0009,P14,0.9811020391728565,True,True
unitnorm,sentinel1,treatment_0009,P15,,True,False
unitnorm,sentinel1,treatment_0009,P16,1.001931484996664,True,True
unitnorm,sentinel1,treatment_0009,P17,0.9927082514354258,True,True
unitnorm,sentinel1,treatment_0009,P18,1.008037779851932,True,True
unitnorm,sentinel1,treatment_0009,P19,0.9909457121326372,True,True
unitnorm,sentinel1,treatment_0009,P20,0.9915171303127163,True,True
unitnorm,sentinel1,treatment_0010,P11,1.0010480785511835,True,True
unitnorm,sentinel1,treatment_0010,P12,,True,False
unitnorm,sentinel1,treatment_0010,P13,0.9996063008771492,True,True
unitnorm,sentinel1,treatment_0010,P14,1.005080648310233,True,True
unitnorm,sentinel1,treatment_0010,P15,,True,False
unitnorm,sentinel1,treatment_0010,P16,,True,False
unitnorm,sentinel1,treatment_0010,P17,1.0085459108978805,True,True
unitnorm,sentinel1,treatment_0010,P18,1.0252189377731726,True,True
unitnorm,sentinel1,treatment_0010,P19,1.0058903898921336,True,True
unitnorm,sentinel1,treatment_0010,P20,0.9915471923224406,True,True
unitnorm,sentinel2,treatment_0001,P11,1.1922527779538215,True,True
unitnorm,sentinel2,treatment_0001,P12,1.1828238242472644,True,True
unitnorm,sentinel2,treatment_0001,P13,1.0854055802251086,True,True
unitnorm,sentinel2,treatment_0001,P14,1.0749028594947516,True,True
unitnorm,sentinel2,treatment_0001,P15,,False,False
unitnorm,sentinel2,treatment_0001,P16,1.245576444934197,True,True
unitnorm,sentinel2,treatment_0001,P17,0.9312645142330257,True,True
unitnorm,sentinel2,treatment_0001,P18,0.8083083250161972,True,True
unitnorm,sentinel2,treatment_0001,P19,1.3883414879427518,True,True
unitnorm,sentinel2,treatment_0001,P20,1.3970678018651685,True,True
unitnorm,sentinel2,treatment_0002,P11,1.2409640133458728,True,True
unitnorm,sentinel2,treatment_0002,P12,1.249359079694506,True,True
unitnorm,sentinel2,treatment_0002,P13,1.0538560602732256,True,True
unitnorm,sentinel2,treatment_0002,P14,1.2822001241560275,True,True
unitnorm,sentinel2,treatment_0002,P15,,False,False
unitnorm,sentinel2,treatment_0002,P16,1.2134533507999903,True,True
unitnorm,sentinel2,treatment_0002,P17,0.9381526340333675,True,True
unitnorm,sentinel2,treatment_0002,P18,0.8739320665227952,True,True
unitnorm,sentinel2,treatment_0002,P19,1.3178284724550848,True,True
unitnorm,sentinel2,treatment_0002,P20,1.299015868536715,True,True
unitnorm,sentinel2,treatment_0003,P11,1.0385630537042403,True,True
unitnorm,sentinel2,treatment_0003,P12,1.073370853475209,True,True
unitnorm,sentinel2,treatment_0003,P13,1.280629448013277,True,True
unitnorm,sentinel2,treatment_0003,P14,0.616621332376634,True,True
unitnorm,sentinel2,treatment_0003,P15,,False,False
unitnorm,sentinel2,treatment_0003,P16,1.0619120429028566,True,True
unitnorm,sentinel2,treatment_0003,P17,1.0793789933404487,True,True
unitnorm,sentinel2,treatment_0003,P18,1.1132991523878932,True,True
unitnorm,sentinel2,treatment_0003,P19,1.1560786173521043,True,True
unitnorm,sentinel2,treatment_0003,P20,1.2433979330585607,True,True
