cache,sensor,repr,site,test,test_rmse,train_rmse,n_test_dims
chipmean,sentinel2,combined,treatment_0009,P09,0.6441056909264872,0.7759435221661086,115
chipmean,sentinel2,combined,treatment_0010,P09,1.180480479167599,0.899639277959447,115
chipmean,sentinel2,combined,treatment_0001,P10,0.5890263463695692,0.6537105359793955,115
chipmean,sentinel2,combined,treatment_0002,P10,0.672343061180364,0.9172807092309075,115
chipmean,sentinel2,combined,treatment_0003,P10,0.3902073442752361,0.686522810893859,115
chipmean,sentinel2,combined,treatment_0004,P10,0.7581005943778911,0.9887942560131591,115
chipmean,sentinel2,combined,treatment_0005,P10,0.7771947675168625,1.2348568006574694,115
chipmean,sentinel2,combined,treatment_0006,P10,0.48069885372035587,0.7067639942039357,115
chipmean,sentinel2,combined,treatment_0007,P10,0.5508841028317033,0.5579340075853558,115
chipmean,sentinel2,combined,treatment_0008,P10,0.4552567765240992,0.854426510992661,115
chipmean,sentinel2,combined,treatment_0009,P10,0.544024236821113,0.7604060707499951,115
chipmean,sentinel2,combined,treatment_0010,P10,0.48358602112892657,0.9400269156192086,115
genfill,sentinel1,latent980,treatment_0001,P09,1.1119926460818912,1.130622452684906,980
genfill,sentinel1,latent980,treatment_0002,P09,1.0751331985911634,1.064820708000492,980
genfill,sentinel1,latent980,treatment_0003,P09,1.079322460871269,1.0776765591311837,980
genfill,sentinel1,latent980,treatment_0004,P09,1.086144530230404,1.118760423415834,980
genfill,sentinel1,latent980,treatment_0005,P09,1.053005013588109,1.0702945165663973,980
genfill,sentinel1,latent980,treatment_0006,P09,1.10160032721587,1.1054269118336497,980
genfill,sentinel1,latent980,treatment_0007,P09,1.0929895449984626,1.1193293461685274,980
genfill,sentinel1,latent980,treatment_0008,P09,1.0624917457681602,1.0730799983818489,980
genfill,sentinel1,latent980,treatment_0009,P09,1.0989534299102819,1.0871115956947457,980
genfill,sentinel1,latent980,treatment_0010,P09,1.0929289665582127,1.1325797832067384,980
genfill,sentinel1,latent980,treatment_0001,P10,1.1180055307801988,1.128827449781286,980
genfill,sentinel1,latent980,treatment_0002,P10,1.0976156694646737,1.066212936172245,980
genfill,sentinel1,latent980,treatment_0003,P10,1.047289461729393,1.0779689582413166,980
genfill,sentinel1,latent980,treatment_0004,P10,1.103110730400381,1.1153350117756833,980
genfill,sentinel1,latent980,treatment_0005,P10,1.0755620807317388,1.0688713483315533,980
genfill,sentinel1,latent980,treatment_0006,P10,1.1143800215681823,1.105319778798344,980
genfill,sentinel1,latent980,treatment_0007,P10,1.0850934610847753,1.1167034017135329,980
genfill,sentinel1,latent980,treatment_0008,P10,1.0674115037453205,1.0722137653193435,980
genfill,sentinel1,latent980,treatment_0009,P10,1.0680627771679583,1.0886851306674477,980
genfill,sentinel1,latent980,treatment_0010,P10,1.1061230554606836,1.128658777550074,980
genfill,sentinel1,chip_mean,treatment_0001,P09,0.8517263164153254,0.665099044559501,5
genfill,sentinel1,chip_mean,treatment_0002,P09,0.5567167540195199,0.5612819073445009,5
genfill,sentinel1,chip_mean,treatment_0003,P09,0.49594271296661796,0.3706524078047824,5
genfill,sentinel1,chip_mean,treatment_0004,P09,0.35586972105220377,0.48256610185670934,5
genfill,sentinel1,chip_mean,treatment_0005,P09,0.4124414246913688,0.5085540442078521,5
genfill,sentinel1,chip_mean,treatment_0006,P09,0.7651348904961903,0.6096901579199964,5
genfill,sentinel1,chip_mean,treatment_0007,P09,1.0307333611426168,1.0837754243368547,5
genfill,sentinel1,chip_mean,treatment_0008,P09,0.7114036953357517,0.7065320171662687,5
genfill,sentinel1,chip_mean,treatment_0009,P09,0.394510299269766,0.6112768444409893,5
genfill,sentinel1,chip_mean,treatment_0010,P09,0.28961807635898296,0.44790426508113734,5
genfill,sentinel1,chip_mean,treatment_0001,P10,0.9619098714949897,0.6959236891054543,5
genfill,sentinel1,chip_mean,treatment_0002,P10,0.5257922802822196,0.5660377398670978,5
genfill,sentinel1,chip_mean,treatment_0003,P10,0.2511202472733089,0.38623419352186467,5
genfill,sentinel1,chip_mean,treatment_0004,P10,0.8928254654338319,0.47629936345628426,5
genfill,sentinel1,chip_mean,treatment_0005,P10,0.6093459690059914,0.5066814733877509,5
genfill,sentinel1,chip_mean,treatment_0006,P10,0.8092481068427566,0.6350975737296263,5
genfill,sentinel1,chip_mean,treatment_0007,P10,1.154599544739294,1.0847512453449402,5
genfill,sentinel1,chip_mean,treatment_0008,P10,0.8685099833120998,0.712687534874841,5
genfill,sentinel1,chip_mean,treatment_0009,P10,0.6529212181142446,0.5993869722033572,5
genfill,sentinel1,chip_mean,treatment_0010,P10,0.41368661514459554,0.4398768314302684,5
genfill,sentinel1,quantile,treatment_0001,P09,0.8285681392372095,0.7908498492967606,100
genfill,sentinel1,quantile,treatment_0002,P09,0.8362928799210554,0.7790910762908851,100
genfill,sentinel1,quantile,treatment_0003,P09,0.8659530978982185,0.7377962075337378,100
genfill,sentinel1,quantile,treatment_0004,P09,0.6840236380205901,0.8059967936560446,100
genfill,sentinel1,quantile,treatment_0005,P09,0.6762580535109735,1.0850886271723568,100
genfill,sentinel1,quantile,treatment_0006,P09,0.6940920663382346,0.7758398198043838,100
genfill,sentinel1,quantile,treatment_0007,P09,1.021530733516548,1.024909630199415,100
genfill,sentinel1,quantile,treatment_0008,P09,0.737959346678025,0.7873864840409394,100
genfill,sentinel1,quantile,treatment_0009,P09,0.6005366357867792,0.8743833937419316,100
genfill,sentinel1,quantile,treatment_0010,P09,0.5781124388455753,0.692763445897094,100
