fill,sensor,repr,M,estimator,perm,role,site,n_donors,n_pre,n_valid_test,rmse_train,rmse_test,rms_y_test,w_max,rel_l2_test,C2,C3,n_cells_used,rmse_test_unproj,sum_w,n_negative,lambda_,lambda_flag,rmse_test_fscm
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0007,5,5,196,0.01711847837372436,0.013201335747737209,0.3184718844398508,,0.041452123068749326,False,True,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0008,5,9,196,0.01607775406693048,0.021154983794350716,0.3415014911354085,,0.061946973420278766,False,True,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0009,5,9,196,0.01731052598789451,0.017957216617599914,0.33340698925127005,,0.05385974858513411,False,False,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0010,5,9,196,0.01637499750836371,0.01855514915021321,0.34276004085754236,,0.054134516683422514,False,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0001,5,9,196,0.01710293711765344,0.022700995698229056,0.3241581456880685,0.5453083210960448,0.07003061931404868,False,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0002,5,9,196,0.018018491165663546,0.016479165715596857,0.32779944112982723,0.4497003751370443,0.050272098264713544,False,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0003,5,9,196,0.012415805776672468,0.008985635694580486,0.3438099826888993,0.5518506927322868,0.026135470600082165,True,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0004,5,9,196,0.016947047246490796,0.027871869667373757,0.3255395561766472,0.5541474274537608,0.08561745919518816,False,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0005,5,9,196,0.014035988224009402,0.013286475115817058,0.3301136383803457,0.4024252030870401,0.040248185991361055,True,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0006,5,9,196,0.01860079919850668,0.022568662095035896,0.3297249826944926,0.9473239697232566,0.06844692783242008,False,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0007,5,5,196,0.01958878226110863,0.01754176022357296,0.3184718844398508,0.39382279193380804,0.05508103252011258,False,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0008,5,9,196,0.01862910637444935,0.025054042812699615,0.3415014911354085,0.4881277312015188,0.07336437310830204,False,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0009,5,9,196,0.01554588663299814,0.012483199589712208,0.33340698925127005,0.3511403272389868,0.03744132544355369,True,True,,,,,,,
chipmean,sentinel1,gram,15,scm,-,estimator,treatment_0010,5,9,196,0.013504348345087593,0.015082620062548489,0.34276004085754236,0.6101531852346592,0.044003437579286306,True,True,,,,,,,
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0001,5,9,196,0.016965682895230358,0.0223660512648138,0.3241581456880685,0.559461541806468,0.06899734454409252,False,True,,0.022366051264814,0.9998999999999998,1.0,0.1,interior,0.0227094824871169
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0002,5,9,196,0.017905068405652886,0.0159767090767951,0.32779944112982723,0.467789287922762,0.04873928101197529,False,True,,0.0159767090767952,1.0000000000000004,2.0,0.1,interior,0.016479100084573
chipmean,sentinel1,gram,15,afsc,-,estimator,treatment_0003,5,9,196,0.012420668561167213,0.0089781685334559,0.3438099826888993,0.551800409703343,0.026113751739372578,True,True,,0.008978168533456,0.9999000000000001,0.0,0.1,interior,0.0089779435991777
