site_id,sensor,period_id,seq,valid_pixel_fraction,fill_method,arm
counterfactual_0002_02,sentinel2,after_P07,17,0.5852367414959317,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,after_P08,18,0.0377413979021664,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,after_P09,19,1.0,none,
counterfactual_0002_02,sentinel2,after_P10,20,1.0,none,
counterfactual_0002_03,sentinel1,before_P01,1,1.0,none,
counterfactual_0002_03,sentinel1,before_P02,2,1.0,none,
counterfactual_0002_03,sentinel1,before_P03,3,1.0,none,
counterfactual_0002_03,sentinel1,before_P04,4,1.0,none,
counterfactual_0002_03,sentinel1,before_P05,5,1.0,none,
counterfactual_0002_03,sentinel1,before_P06,6,1.0,none,
counterfactual_0002_03,sentinel1,before_P07,7,1.0,none,
counterfactual_0002_03,sentinel1,before_P08,8,1.0,none,
counterfactual_0002_03,sentinel1,before_P09,9,1.0,none,
counterfactual_0002_03,sentinel1,before_P10,10,1.0,none,
counterfactual_0002_03,sentinel1,after_P01,11,1.0,none,
counterfactual_0002_03,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0002_03,sentinel1,after_P03,13,1.0,none,
counterfactual_0002_03,sentinel1,after_P04,14,1.0,none,
counterfactual_0002_03,sentinel1,after_P05,15,,still_missing,
counterfactual_0002_03,sentinel1,after_P06,16,1.0,none,
counterfactual_0002_03,sentinel1,after_P07,17,1.0,none,
counterfactual_0002_03,sentinel1,after_P08,18,1.0,none,
counterfactual_0002_03,sentinel1,after_P09,19,1.0,none,
counterfactual_0002_03,sentinel1,after_P10,20,1.0,none,
counterfactual_0002_03,sentinel2,before_P01,1,0.0,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,before_P02,2,0.9774531908636408,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,before_P03,3,0.9950985197529654,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,before_P04,4,1.0,none,
counterfactual_0002_03,sentinel2,before_P05,5,1.0,none,
counterfactual_0002_03,sentinel2,before_P06,6,0.557788452112538,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,before_P07,7,0.0,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,before_P08,8,1.0,none,
counterfactual_0002_03,sentinel2,before_P09,9,1.0,none,
counterfactual_0002_03,sentinel2,before_P10,10,1.0,none,
counterfactual_0002_03,sentinel2,after_P01,11,1.0,none,
counterfactual_0002_03,sentinel2,after_P02,12,1.0,none,
counterfactual_0002_03,sentinel2,after_P03,13,0.9768650132339968,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,after_P04,14,1.0,none,
counterfactual_0002_03,sentinel2,after_P05,15,,still_missing,
counterfactual_0002_03,sentinel2,after_P06,16,1.0,none,
counterfactual_0002_03,sentinel2,after_P07,17,0.3879031467503186,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,after_P08,18,0.1343005587687481,generated_s1_to_s2,A
counterfactual_0002_03,sentinel2,after_P09,19,1.0,none,
counterfactual_0002_03,sentinel2,after_P10,20,1.0,none,
counterfactual_0002_04,sentinel1,before_P01,1,1.0,none,
counterfactual_0002_04,sentinel1,before_P02,2,1.0,none,
counterfactual_0002_04,sentinel1,before_P03,3,1.0,none,
counterfactual_0002_04,sentinel1,before_P04,4,1.0,none,
counterfactual_0002_04,sentinel1,before_P05,5,1.0,none,
counterfactual_0002_04,sentinel1,before_P06,6,1.0,none,
counterfactual_0002_04,sentinel1,before_P07,7,1.0,none,
counterfactual_0002_04,sentinel1,before_P08,8,1.0,none,
counterfactual_0002_04,sentinel1,before_P09,9,1.0,none,
counterfactual_0002_04,sentinel1,before_P10,10,1.0,none,
counterfactual_0002_04,sentinel1,after_P01,11,1.0,none,
counterfactual_0002_04,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0002_04,sentinel1,after_P03,13,1.0,none,
counterfactual_0002_04,sentinel1,after_P04,14,1.0,none,
counterfactual_0002_04,sentinel1,after_P05,15,,generated_s2_to_s1,B
counterfactual_0002_04,sentinel1,after_P06,16,1.0,none,
counterfactual_0002_04,sentinel1,after_P07,17,1.0,none,
counterfactual_0002_04,sentinel1,after_P08,18,1.0,none,
counterfactual_0002_04,sentinel1,after_P09,19,1.0,none,
counterfactual_0002_04,sentinel1,after_P10,20,1.0,none,
counterfactual_0002_04,sentinel2,before_P01,1,1.0,none,
counterfactual_0002_04,sentinel2,before_P02,2,0.1897853151651798,generated_s1_to_s2,A
counterfactual_0002_04,sentinel2,before_P03,3,0.979609842172336,generated_s1_to_s2,A
counterfactual_0002_04,sentinel2,before_P04,4,1.0,none,
counterfactual_0002_04,sentinel2,before_P05,5,1.0,none,
counterfactual_0002_04,sentinel2,before_P06,6,1.0,none,
counterfactual_0002_04,sentinel2,before_P07,7,0.9811783158513872,generated_s1_to_s2,A
counterfactual_0002_04,sentinel2,before_P08,8,1.0,none,
counterfactual_0002_04,sentinel2,before_P09,9,1.0,none,
counterfactual_0002_04,sentinel2,before_P10,10,1.0,none,
counterfactual_0002_04,sentinel2,after_P01,11,1.0,none,
counterfactual_0002_04,sentinel2,after_P02,12,1.0,none,
counterfactual_0002_04,sentinel2,after_P03,13,1.0,none,
counterfactual_0002_04,sentinel2,after_P04,14,1.0,none,
counterfactual_0002_04,sentinel2,after_P05,15,1.0,none,
counterfactual_0002_04,sentinel2,after_P06,16,1.0,none,
counterfactual_0002_04,sentinel2,after_P07,17,1.0,none,
counterfactual_0002_04,sentinel2,after_P08,18,0.170963631016567,generated_s1_to_s2,A
counterfactual_0002_04,sentinel2,after_P09,19,1.0,none,
counterfactual_0002_04,sentinel2,after_P10,20,1.0,none,
counterfactual_0002_05,sentinel1,before_P01,1,1.0,none,
counterfactual_0002_05,sentinel1,before_P02,2,1.0,none,
counterfactual_0002_05,sentinel1,before_P03,3,1.0,none,
