arm,repr,site,test,test_rmse,train_rmse,n_test_dims
maskdrop,gram,treatment_0009,P09,1.4330160533135623,0.5605999150254858,15
maskdrop,gram,treatment_0010,P09,1.3977303155298977,0.5511039764545246,15
maskdrop,gram,treatment_0001,P10,0.5608437886498947,0.703744928309149,15
maskdrop,gram,treatment_0002,P10,0.723432251937136,0.6809737066160444,15
maskdrop,gram,treatment_0003,P10,0.47663259334601904,0.3783461020787059,15
maskdrop,gram,treatment_0004,P10,0.6877943833975597,0.9531130738380932,15
maskdrop,gram,treatment_0005,P10,1.0785693241100982,1.1452458698247465,15
maskdrop,gram,treatment_0006,P10,0.35161511932120015,0.45098065060543846,15
maskdrop,gram,treatment_0007,P10,0.6747139187034954,0.7876998092677588,15
maskdrop,gram,treatment_0008,P10,0.3255222079803979,0.5494540567767326,15
maskdrop,gram,treatment_0009,P10,0.18580104962963895,0.6112055939939589,15
maskdrop,gram,treatment_0010,P10,0.40224225124838003,0.6938899318406428,15
maskdrop,combined,treatment_0001,P09,1.0324669604305265,0.8612696494332832,115
maskdrop,combined,treatment_0002,P09,0.8809771423592486,0.9663769011608484,115
maskdrop,combined,treatment_0003,P09,0.6786794824103072,0.6147269908628651,115
maskdrop,combined,treatment_0004,P09,1.8480414944396497,0.8968853808411571,115
maskdrop,combined,treatment_0005,P09,1.2464165653090178,1.1786636344758736,115
maskdrop,combined,treatment_0006,P09,0.9127050124787429,0.5615446728770267,115
maskdrop,combined,treatment_0007,P09,0.7604715489802506,1.0751127909263243,115
maskdrop,combined,treatment_0008,P09,1.1756787525558636,0.6631348590835763,115
maskdrop,combined,treatment_0009,P09,1.0132096053150619,1.074247466830337,115
maskdrop,combined,treatment_0010,P09,1.4852006886972031,0.7215549084688099,115
maskdrop,combined,treatment_0001,P10,0.7223164576605589,0.8689998410959209,115
maskdrop,combined,treatment_0002,P10,0.8320227056529056,0.9242350724839694,115
maskdrop,combined,treatment_0003,P10,0.5672508709834216,0.6128298120194448,115
maskdrop,combined,treatment_0004,P10,0.8277929060227981,1.0714109596079804,115
maskdrop,combined,treatment_0005,P10,1.0113657371716365,1.1340177304788739,115
maskdrop,combined,treatment_0006,P10,0.5300875218243671,0.6365348937456908,115
maskdrop,combined,treatment_0007,P10,0.6911995495540577,1.0110753232018705,115
maskdrop,combined,treatment_0008,P10,0.6073042311501282,0.7390484877796635,115
maskdrop,combined,treatment_0009,P10,0.4915328118023688,1.0629025668310126,115
maskdrop,combined,treatment_0010,P10,0.6751891595635867,0.8565591661241547,115
