sensor,method,site,band,err,sd
sentinel2,synth_tm5,treatment_0005,B2,0.05328447371721268,0.02821251191198826
sentinel2,synth_tm5,treatment_0005,B3,0.05696595460176468,0.02412761002779007
sentinel2,synth_tm5,treatment_0005,B4,0.06288592517375946,0.02600637823343277
sentinel2,synth_tm5,treatment_0005,B8,0.0475524365901947,0.06917707622051239
sentinel2,synth_tm5,treatment_0005,B11,0.046291738748550415,0.0362948440015316
sentinel2,synth_tm5,treatment_0005,B12,0.04949624091386795,0.028454743325710297
sentinel2,synth_tm5,treatment_0005,NDVI,-0.25390923023223877,0.11497209966182709
sentinel2,synth_tm5,treatment_0005,NDWI,0.2046547532081604,0.09809047728776932
sentinel2,synth_lat980,treatment_0005,B2,0.0383196622133255,0.02821251191198826
sentinel2,synth_lat980,treatment_0005,B3,0.04292452335357666,0.02412761002779007
sentinel2,synth_lat980,treatment_0005,B4,0.04101226478815079,0.02600637823343277
sentinel2,synth_lat980,treatment_0005,B8,0.03007107973098755,0.06917707622051239
sentinel2,synth_lat980,treatment_0005,B11,0.015329748392105103,0.0362948440015316
sentinel2,synth_lat980,treatment_0005,B12,0.03304356336593628,0.028454743325710297
sentinel2,synth_lat980,treatment_0005,NDVI,-0.18916141986846924,0.11497209966182709
sentinel2,synth_lat980,treatment_0005,NDWI,0.1731053590774536,0.09809047728776932
sentinel2,synth_equal,treatment_0005,B2,0.03969894349575043,0.02821251191198826
sentinel2,synth_equal,treatment_0005,B3,0.04514230042695999,0.02412761002779007
sentinel2,synth_equal,treatment_0005,B4,0.04969990998506546,0.02600637823343277
sentinel2,synth_equal,treatment_0005,B8,0.030611813068389893,0.06917707622051239
sentinel2,synth_equal,treatment_0005,B11,0.017740949988365173,0.0362948440015316
sentinel2,synth_equal,treatment_0005,B12,0.04847162216901779,0.028454743325710297
sentinel2,synth_equal,treatment_0005,NDVI,-0.2233988642692566,0.11497209966182709
sentinel2,synth_equal,treatment_0005,NDWI,0.18081915378570557,0.09809047728776932
sentinel2,floor,treatment_0006,B2,0.03688005171716213,0.02821251191198826
sentinel2,floor,treatment_0006,B3,0.040079034864902496,0.02412761002779007
sentinel2,floor,treatment_0006,B4,0.031100651249289513,0.02600637823343277
sentinel2,floor,treatment_0006,B8,0.007202178239822388,0.06917707622051239
sentinel2,floor,treatment_0006,B11,0.010896891355514526,0.0362948440015316
sentinel2,floor,treatment_0006,B12,0.007181353867053986,0.028454743325710297
sentinel2,floor,treatment_0006,NDVI,-0.14654308557510376,0.11497209966182709
sentinel2,floor,treatment_0006,NDWI,0.17302584648132324,0.09809047728776932
sentinel2,synth_bands,treatment_0006,B2,0.027828743681311607,0.02821251191198826
sentinel2,synth_bands,treatment_0006,B3,0.030823983252048492,0.02412761002779007
sentinel2,synth_bands,treatment_0006,B4,0.02482280321419239,0.02600637823343277
sentinel2,synth_bands,treatment_0006,B8,-0.0031237900257110596,0.06917707622051239
sentinel2,synth_bands,treatment_0006,B11,2.415478229522705e-05,0.0362948440015316
sentinel2,synth_bands,treatment_0006,B12,0.013555653393268585,0.028454743325710297
sentinel2,synth_bands,treatment_0006,NDVI,-0.1280050277709961,0.11497209966182709
sentinel2,synth_bands,treatment_0006,NDWI,0.14570295810699463,0.09809047728776932
sentinel2,synth_tm5,treatment_0006,B2,0.022298282012343407,0.02821251191198826
sentinel2,synth_tm5,treatment_0006,B3,0.028655558824539185,0.02412761002779007
sentinel2,synth_tm5,treatment_0006,B4,0.017271285876631737,0.02600637823343277
sentinel2,synth_tm5,treatment_0006,B8,-0.005669087171554565,0.06917707622051239
sentinel2,synth_tm5,treatment_0006,B11,-0.008514642715454102,0.0362948440015316
sentinel2,synth_tm5,treatment_0006,B12,0.00020791590213775635,0.028454743325710297
sentinel2,synth_tm5,treatment_0006,NDVI,-0.09342950582504272,0.11497209966182709
sentinel2,synth_tm5,treatment_0006,NDWI,0.13898444175720215,0.09809047728776932
sentinel2,synth_lat980,treatment_0006,B2,0.029719116166234016,0.02821251191198826
sentinel2,synth_lat980,treatment_0006,B3,0.03297127038240433,0.02412761002779007
sentinel2,synth_lat980,treatment_0006,B4,0.023661551997065544,0.02600637823343277
sentinel2,synth_lat980,treatment_0006,B8,-0.00255739688873291,0.06917707622051239
sentinel2,synth_lat980,treatment_0006,B11,-0.020048871636390686,0.0362948440015316
sentinel2,synth_lat980,treatment_0006,B12,-0.0003283768892288208,0.028454743325710297
sentinel2,synth_lat980,treatment_0006,NDVI,-0.12226390838623047,0.11497209966182709
sentinel2,synth_lat980,treatment_0006,NDWI,0.15432465076446533,0.09809047728776932
sentinel2,synth_equal,treatment_0006,B2,0.03383912332355976,0.02821251191198826
sentinel2,synth_equal,treatment_0006,B3,0.03359731286764145,0.02412761002779007
sentinel2,synth_equal,treatment_0006,B4,0.025659432634711266,0.02600637823343277
sentinel2,synth_equal,treatment_0006,B8,0.005792737007141113,0.06917707622051239
sentinel2,synth_equal,treatment_0006,B11,-0.010990172624588013,0.0362948440015316
sentinel2,synth_equal,treatment_0006,B12,0.009045705199241638,0.028454743325710297
