site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,w_max,arm,sensor,n_donors
treatment_0006,P10,0.20686743715062572,0.3969835256868632,0.9332989647189405,0.17979713134382408,True,True,False,0.8398882968116681,ch_per,sentinel2,
treatment_0007,P10,0.42053397105062906,0.31057104314229805,1.1105828605654366,0.6132011254601857,True,True,True,0.8471066073472466,ch_per,sentinel2,
treatment_0008,P10,0.33594408710968204,0.634002798008109,0.6922208637629296,0.22816449352217738,True,True,False,0.9999999999999999,ch_per,sentinel2,
treatment_0009,P10,0.5014885271916176,0.5631522348476099,0.6426293279725308,0.2451195038788462,True,True,False,0.9384619750428117,ch_per,sentinel2,
treatment_0010,P10,0.25776777808232415,0.8584815424185811,0.43283087602649606,0.6265470833806001,True,True,True,1.0,ch_per,sentinel2,
treatment_0001,P09,0.3494622356503615,0.35840213861805503,0.8132963402049226,0.5103225728484599,True,True,True,0.615517545904797,ch_joint,sentinel2,
treatment_0002,P09,0.31360027668279894,0.7077511586173411,0.42366525030768176,0.33891673514926474,True,True,True,0.5632937236318092,ch_joint,sentinel2,
treatment_0003,P09,0.3334001807804697,0.656059029695485,0.8217699692087753,0.31244286539540356,True,True,False,0.6782619741501258,ch_joint,sentinel2,
treatment_0004,P09,1.2935134476767072,0.958489431704429,0.8308324667063524,1.2966785285431006,True,False,True,0.4215450161633002,ch_joint,sentinel2,
treatment_0005,P09,0.8903215639663115,1.3825323465664903,0.7568818580614415,0.7081847704239812,True,False,False,0.5051806036743334,ch_joint,sentinel2,
treatment_0006,P09,0.44592427207766605,0.5584264886055643,0.5069375113810298,0.35159670608840704,True,True,False,0.6675282950931359,ch_joint,sentinel2,
treatment_0007,P09,0.2744164776008256,0.32551165464942855,0.6910553737220734,0.18506851332596633,True,True,False,0.7916653915151703,ch_joint,sentinel2,
treatment_0008,P09,0.40442271617127273,0.852924893649636,0.552039669706479,0.39998010331195943,True,True,False,0.44584269739834803,ch_joint,sentinel2,
treatment_0009,P09,0.3914143131188439,0.7066862200514119,0.5375520659432215,0.19093309085208046,True,True,False,0.41520107058089534,ch_joint,sentinel2,
treatment_0010,P09,1.068622954115222,0.9027203283569613,2.136453333298418,1.0501804114669564,True,True,False,0.5636305914285147,ch_joint,sentinel2,
treatment_0001,P10,0.37257752149860907,0.36015101316453274,0.5783862105871703,0.8674325269882801,True,True,True,0.647278641161217,ch_joint,sentinel2,
treatment_0002,P10,0.5001619069170874,0.6874967147465904,1.1305797072378,0.59350061954942,True,True,True,0.5441595558642027,ch_joint,sentinel2,
treatment_0003,P10,0.14240344813624478,0.6383330689199367,1.0563467734065954,0.16303055220936596,True,True,True,0.6508513887963902,ch_joint,sentinel2,
treatment_0004,P10,0.7057331168203704,1.0110588132230138,0.5624748470265789,0.7390226489134908,True,False,True,0.4618281597082193,ch_joint,sentinel2,
treatment_0005,P10,0.5918459815880182,1.3480324950423483,0.7625504022439338,0.7701907687665112,True,True,True,0.46831877000404987,ch_joint,sentinel2,
treatment_0006,P10,0.2969713745022843,0.5513540104857466,0.9332989647189405,0.17979713134382408,True,True,False,0.6741587184699634,ch_joint,sentinel2,
treatment_0007,P10,0.41816227988320315,0.32166759300556874,1.1105828605654366,0.6132011254601857,True,True,True,0.7304838415289128,ch_joint,sentinel2,
treatment_0008,P10,0.24803975013065366,0.8228369607144659,0.6922208637629296,0.22816449352217738,True,True,False,0.42562134490681786,ch_joint,sentinel2,
treatment_0009,P10,0.45781255915848174,0.6819863849602539,0.6426293279725308,0.2451195038788462,True,True,False,0.4360762121686311,ch_joint,sentinel2,
treatment_0010,P10,0.21572617471651334,0.9353468857355716,0.43283087602649606,0.6265470833806001,True,True,True,0.5330725102147497,ch_joint,sentinel2,
treatment_0001,P09,0.3623330205969896,0.24863769136006394,0.8132963402049226,0.5103225728484599,True,True,True,0.9535689284874035,ch_per_dm,sentinel2,
treatment_0002,P09,0.3306313000069531,0.6091969916389345,0.42366525030768176,0.33891673514926474,True,True,True,0.5924365093181467,ch_per_dm,sentinel2,
treatment_0003,P09,0.4805277676081064,0.38422201046602306,0.8217699692087753,0.31244286539540356,True,True,False,0.9333369764334869,ch_per_dm,sentinel2,
treatment_0004,P09,0.8695199043428627,0.5418175628343691,0.8308324667063524,1.2966785285431006,False,False,True,0.9999999999999999,ch_per_dm,sentinel2,
treatment_0005,P09,1.2594665992136491,1.0341834670007253,0.7568818580614415,0.7081847704239812,True,False,False,0.8022954412666099,ch_per_dm,sentinel2,
treatment_0006,P09,0.7044741979278345,0.25280154727999804,0.5069375113810298,0.35159670608840704,False,False,False,0.9866309340577952,ch_per_dm,sentinel2,
treatment_0007,P09,0.29992305280778664,0.30660955092207015,0.6910553737220734,0.18506851332596633,True,True,False,0.9537994060165333,ch_per_dm,sentinel2,
treatment_0008,P09,0.39540894349281724,0.647067606746051,0.552039669706479,0.39998010331195943,True,True,True,1.0,ch_per_dm,sentinel2,
treatment_0009,P09,0.4325231306747722,0.5283152731793104,0.5375520659432215,0.19093309085208046,True,True,False,1.0,ch_per_dm,sentinel2,
treatment_0010,P09,1.366806414652105,0.7379675539299316,2.136453333298418,1.0501804114669564,False,True,False,1.0,ch_per_dm,sentinel2,
treatment_0001,P10,0.2779528393305862,0.25737788572874454,0.5783862105871703,0.8674325269882801,True,True,True,0.9456851579830945,ch_per_dm,sentinel2,
treatment_0002,P10,0.4630408276457953,0.5926284368790403,1.1305797072378,0.59350061954942,True,True,True,0.581211725984775,ch_per_dm,sentinel2,
treatment_0003,P10,0.19339027953255525,0.3964148948532789,1.0563467734065954,0.16303055220936596,True,True,False,0.9137752727094314,ch_per_dm,sentinel2,
treatment_0004,P10,0.39321181895146184,0.5708812234358787,0.5624748470265789,0.7390226489134908,True,True,True,0.9999999999999999,ch_per_dm,sentinel2,
treatment_0005,P10,0.6387580314924387,1.0476831636660506,0.7625504022439338,0.7701907687665112,True,True,True,0.7850198855059994,ch_per_dm,sentinel2,
treatment_0006,P10,0.13726508736208817,0.32633238555290234,0.9332989647189405,0.17979713134382408,True,True,True,0.9780650498835521,ch_per_dm,sentinel2,
treatment_0007,P10,0.435589595318317,0.3060543605758063,1.1105828605654366,0.6132011254601857,True,True,True,0.9027278899877804,ch_per_dm,sentinel2,
treatment_0008,P10,0.3522109246536577,0.6236319432018272,0.6922208637629296,0.22816449352217738,True,True,False,1.0,ch_per_dm,sentinel2,
treatment_0009,P10,0.38117607486187766,0.5170040623615509,0.6426293279725308,0.2451195038788462,True,True,False,0.9999999999999998,ch_per_dm,sentinel2,
treatment_0010,P10,0.421265866427948,0.8112200374554265,0.43283087602649606,0.6265470833806001,True,True,True,1.0,ch_per_dm,sentinel2,
treatment_0001,P09,0.4272023703101786,0.30485493681447834,0.8132963402049226,0.5103225728484599,True,True,True,0.5364252227926624,ch_joint_dm,sentinel2,
treatment_0002,P09,0.4344461278369492,0.6579964631634271,0.42366525030768176,0.33891673514926474,True,False,False,0.6345032751115366,ch_joint_dm,sentinel2,
treatment_0003,P09,0.5110640882113237,0.5669184484734476,0.8217699692087753,0.31244286539540356,True,True,False,0.6030017736773176,ch_joint_dm,sentinel2,
treatment_0004,P09,0.8186885868397951,0.8270355056852868,0.8308324667063524,1.2966785285431006,True,True,True,0.41031035628330154,ch_joint_dm,sentinel2,
treatment_0005,P09,1.5265777125354185,1.1755760718025339,0.7568818580614415,0.7081847704239812,True,False,False,0.7105138082822677,ch_joint_dm,sentinel2,
treatment_0006,P09,0.8443049505943191,0.39331209864147076,0.5069375113810298,0.35159670608840704,False,False,False,0.7485588552586133,ch_joint_dm,sentinel2,
treatment_0007,P09,0.27244386084626016,0.32509327715532,0.6910553737220734,0.18506851332596633,True,True,False,0.814240073215967,ch_joint_dm,sentinel2,
treatment_0008,P09,0.5739240629584808,0.8115015087791353,0.552039669706479,0.39998010331195943,True,False,False,0.3827228409069488,ch_joint_dm,sentinel2,
treatment_0009,P09,0.43389372765016315,0.5928273821208485,0.5375520659432215,0.19093309085208046,True,True,False,0.6012596432886195,ch_joint_dm,sentinel2,
treatment_0010,P09,1.2697675567889792,0.8266229678325021,2.136453333298418,1.0501804114669564,False,True,False,0.4062039720686811,ch_joint_dm,sentinel2,
treatment_0001,P10,0.3064610423967638,0.3197429484665265,0.5783862105871703,0.8674325269882801,True,True,True,0.585392112021231,ch_joint_dm,sentinel2,
treatment_0002,P10,0.4640459141017096,0.6468089654409556,1.1305797072378,0.59350061954942,True,True,True,0.6343167104554603,ch_joint_dm,sentinel2,
