fill,sensor,n,m,n_sites,N,h_median,h_interior,n_selected_mean,most_recent_only,oldest_only,n_eff_mean,mse_pre_mean,passes_nu,delta_rms_mean,placebo_sites,placebo_rmse,placebo_rmse_raw,placebo_rmse_ownmean,placebo_beats_ownmean,nc_sites,nc_rank1,nc_p_mean,nc_controls_mean
chipmean,sentinel1,3,5,12,3,0.7126427896022376,12,1.0,12,0,1.0,0.008659868967141984,0,0.24028276579965516,,,,,,12,0,0.5909090909090909,1.2884259259259259
chipmean,sentinel1,3,6,12,2,0.7126427896022376,12,1.0,12,0,1.0,0.008488955827970554,0,0.24028276579965516,,,,,,12,0,0.5909090909090909,1.2884259259259259
chipmean,sentinel1,3,7,12,1,0.7126427896022376,12,1.0,12,12,1.0,0.008355093254598286,0,0.24028276579965516,,,,,,12,0,0.5909090909090909,1.2884259259259259
chipmean,sentinel2,2,2,15,7,0.5011872336272725,15,1.0666666666666667,14,0,1.0055135766572065,0.008854734164163222,0,0.23216798025098045,15.0,0.20800435044019333,0.22666419016046305,0.24147830126175737,15.0,15,1,0.4727272727272727,2.1833068783068783
chipmean,sentinel2,2,3,15,6,0.5011872336272725,15,1.0666666666666667,14,0,1.0006073951301067,0.008720888332792725,0,0.23240874841611386,15.0,0.20800435044019333,0.22666419016046305,0.24147830126175737,15.0,15,1,0.4727272727272727,2.1833068783068783
chipmean,sentinel2,2,4,15,5,0.5011872336272725,15,1.0,15,0,1.0,0.008639737465669315,0,0.23243761941085433,15.0,0.20800435044019333,0.22666419016046305,0.24147830126175737,15.0,15,1,0.4727272727272727,2.1833068783068783
chipmean,sentinel2,2,5,15,4,0.5011872336272725,15,1.0,15,0,1.0,0.008545658359907225,0,0.23243761941085433,15.0,0.20800435044019333,0.22666419016046305,0.24147830126175737,15.0,15,1,0.4727272727272727,2.1833068783068783
chipmean,sentinel2,2,6,15,3,0.5011872336272725,15,1.0,15,0,1.0,0.008475380357933276,0,0.23243761941085433,15.0,0.20800435044019333,0.22666419016046305,0.24147830126175737,15.0,15,1,0.4727272727272727,2.1833068783068783
chipmean,sentinel2,2,7,15,2,0.5011872336272725,15,1.0,15,0,1.0,0.008450030111186555,0,0.23243761941085433,,,,,,15,1,0.4727272727272727,2.1833068783068783
chipmean,sentinel2,2,8,15,1,0.5011872336272725,15,1.0,15,15,1.0,0.008616104562050678,0,0.23243761941085433,,,,,,15,1,0.4727272727272727,2.1833068783068783
chipmean,sentinel2,3,2,15,6,0.5011872336272725,15,1.0666666666666667,14,0,1.0152591950609002,0.018803379742531108,0,0.25090410296377386,15.0,0.23297401853484576,0.29689910984224555,0.2539754652035798,14.0,15,1,0.5515151515151514,1.688042328042328
chipmean,sentinel2,3,3,15,5,0.5011872336272725,15,1.0666666666666667,14,0,1.0070161864583846,0.018669381003305355,0,0.25128556556555176,15.0,0.23297401853484576,0.29689910984224555,0.2539754652035798,14.0,15,1,0.5575757575757575,1.67494708994709
chipmean,sentinel2,3,4,15,4,0.5011872336272725,15,1.0,15,0,1.0,0.018507866953316743,0,0.25155643542767075,15.0,0.23297401853484576,0.29689910984224555,0.2539754652035798,14.0,15,1,0.5575757575757575,1.67494708994709
