fill,sensor,seq,period,n_rows,lam,lam_flag,n_leverage_one,kind,r2_ch1,r2_ch2,r2_ch3,r2_ch4,r2_ch5,feature,coef_ch1,coef_ch2,coef_ch3,coef_ch4,coef_ch5
chipmean,sentinel2,10,P10,165,100.0,,,coef,,,,,,class_22,0.0003660897664950994,-0.0001980342228776547,-0.0009490557558383789,0.0005927552208251875,-0.0027307689329792713
chipmean,sentinel2,10,P10,165,100.0,,,coef,,,,,,class_42,4.819570874172942e-18,5.842716477435977e-18,6.7730348896515365e-18,5.41712094088079e-18,5.6867924455005285e-18
chipmean,sentinel2,10,P10,165,100.0,,,coef,,,,,,class_43,0.0033811185352366066,0.005885015490837409,0.0016248586740799855,0.006042701571434775,-0.006564373476248402
chipmean,sentinel2,10,P10,165,100.0,,,coef,,,,,,class_71,2.4801708936905005e-20,-9.7065806630023e-19,-9.609118607935338e-19,1.7770239281835974e-18,-1.666906851848354e-18
chipmean,sentinel2,10,P10,165,100.0,,,coef,,,,,,class_81,-0.0037124505829184682,-0.0031342145834767983,-0.0012332934341374314,-0.005268680740511651,0.0033389555692196755
chipmean,sentinel2,10,P10,165,100.0,,,coef,,,,,,elevation_m,0.001380305682783897,-0.0025448694483575078,-0.003124363883391556,0.014229813627517365,-0.011226540613574486
chipmean,sentinel2,10,P10,165,100.0,,,coef,,,,,,slope_deg,0.005519184160548563,0.0026818872059408234,0.003760949811521861,0.012058682303709087,0.006193562575424432
chipmean,sentinel2,11,P11,150,100.0,interior,0.0,r2,-0.010464114982853285,-0.013187873290686061,-0.016593775545093722,-0.004461973136005754,-0.015571434948379205,,,,,,
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,intercept,0.6144680225421044,0.7705572321772814,0.8315227002253395,0.6086091330603652,0.6837418718191833
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,class_21,-4.0829803227646406e-18,-6.134867337682748e-18,-6.343795053875174e-18,-3.158232480816243e-18,-3.3639836537141037e-18
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,class_22,-0.0006672555871858211,-0.0011571723441368544,-6.906671446999808e-05,0.000566064842297346,-0.0015385540594442906
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,class_42,4.018394996129881e-18,5.704527734669856e-18,6.115084940617526e-18,2.8342755782302147e-18,5.416815383662074e-18
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,class_43,0.0027951076472467213,0.0027941884813983044,0.0010971492982577362,0.005203969989449972,-0.0038990102708980493
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,class_71,2.498646570379096e-19,2.5092627922765913e-19,3.375573148122147e-19,4.800453003311002e-19,-4.516015093215413e-19
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,class_81,-0.0046597524621076756,-0.004355465526169701,-0.0007458420688285129,-0.010358939922781923,0.007103175950999353
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,elevation_m,0.005958115065879395,0.002418201166602397,0.002816815751989201,0.016435045269521265,-0.005762824329954543
chipmean,sentinel2,11,P11,150,100.0,,,coef,,,,,,slope_deg,0.007710261767056891,0.004443476768463996,0.0053914762323472925,0.014610102154001018,0.006894933980657403
chipmean,sentinel2,12,P12,150,100.0,interior,0.0,r2,-0.014932535422886594,-0.013487895184876076,-0.01699246268990044,-0.01572093471164098,-0.017621295748056653,,,,,,
