cache,sensor,repr,site,test,own_hist_rmse,arm,test_rmse,train_rmse,n_blocks,C1,C2,n_donors,w_blocks_total,C3
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,H1_m4,0.6279618394840065,0.6498217136808836,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,H1_m4_diff,0.8148009811607303,0.8153985437080754,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,H0_own_mean,0.6687783827794316,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,L_last_period,0.8866529494873322,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,H1_m2,0.6820918500449384,0.6294076819096321,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,H1_m2_diff,0.8984918430382066,0.8241997611662017,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,H1_m3,0.6849562450668553,0.6517373068323099,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,H1_m3_diff,0.899694162646335,0.8290940389417094,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,H1_m4,0.6967228837571189,0.6956553081642264,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P10,0.6687783827794316,H1_m4_diff,0.907719474035019,0.8806873520434103,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,H0_own_mean,0.6844538380922334,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,L_last_period,0.9082857419263296,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,H1_m2,0.7037337039065513,0.6872906932254532,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,H1_m2_diff,0.9192738517994162,0.8784328268994998,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,H1_m3,0.695704258999909,0.6893077537822256,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,H1_m3_diff,0.9134097109172388,0.8925939345573347,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,H1_m4,0.7076348164888311,0.7241625615347086,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P10,0.6844538380922334,H1_m4_diff,0.9289644593224788,0.9200166666391724,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,H0_own_mean,0.6710055631733204,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,L_last_period,0.847656342194035,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,H1_m2,0.6761080348189313,0.656195274394255,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,H1_m2_diff,0.8645267365767743,0.8313070888962164,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,H1_m3,0.6796048221768742,0.6688863086132191,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,H1_m3_diff,0.8711803092416706,0.8415064707865164,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,H1_m4,0.6901351356906501,0.7025373875141255,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P10,0.6710055631733204,H1_m4_diff,0.8808663239879181,0.8950878499577914,5,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,H0_own_mean,0.25014202094279764,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,L_last_period,0.4739128894731524,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,H1_m2,0.42802725887462545,0.4583693445173378,6,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,H1_m2_diff,0.6768166330498132,0.7075275739741952,6,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,H1_m3,0.44175862963579765,0.5309370242312452,5,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,H1_m3_diff,0.7172023468711447,0.6558976491103594,5,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,H1_m4,0.44007890877930783,0.5943996619952174,4,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0001,P09,0.25014202094279764,H1_m4_diff,0.48637883338010396,0.781225968501432,4,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,H0_own_mean,0.5325372324069624,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,L_last_period,0.319785314657295,,0,False,True,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,H1_m2,0.7749559798425694,0.3583227820126705,6,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,H1_m2_diff,0.20977684468834684,0.6059737309650701,6,True,True,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,H1_m3,0.7847929673827757,0.33687598584212824,5,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,H1_m3_diff,0.47574203439730567,0.5095953888966268,5,True,True,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,H1_m4,0.6305953152886717,0.5254998649240645,4,True,False,,,
chipmean,sentinel1,chip_mean,treatment_0002,P09,0.5325372324069624,H1_m4_diff,0.33491207911554344,0.7339213065447255,4,True,True,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,H0_own_mean,0.7390414081652132,,0,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,L_last_period,0.46865550095417013,,0,False,True,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,H1_m2,1.039567539034018,0.5092809509560863,6,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,H1_m2_diff,0.6880285360089982,0.22821184983588505,6,False,True,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,H1_m3,1.0616212175720676,0.5006702929651863,5,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,H1_m3_diff,0.7361135699759976,0.5760110510599384,5,True,True,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,H1_m4,1.0400749010558437,0.504748463017055,4,False,False,,,
chipmean,sentinel1,chip_mean,treatment_0003,P09,0.7390414081652132,H1_m4_diff,0.7772685532645468,0.561320539351872,4,True,False,,,
