site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,n_donors,n_test_dims,w_max,arm,sensor,n_pred_positions
treatment_0009,P09,0.7273573463703232,0.70137166171994,0.663050711366829,0.8167692774647607,True,False,True,5.0,410.0,0.21308095004094094,E,sentinel1,
treatment_0010,P09,0.7965076824151863,0.7362838990708099,0.6567508396324037,0.8292805562084818,True,False,True,5.0,390.0,0.21459819886803586,E,sentinel1,
treatment_0001,P10,0.9046886883070933,0.8277854782231032,0.7227511443444575,0.976325647040173,True,False,True,5.0,270.0,0.24046162922599654,E,sentinel1,
treatment_0002,P10,0.9366916796568684,0.804281742540906,0.7263415509992999,0.9444587678221043,True,False,True,5.0,210.0,0.25985069572258895,E,sentinel1,
treatment_0003,P10,0.8813375694475323,0.790373406200394,0.7499124797055267,0.9048262028660932,True,False,True,5.0,500.0,0.23844868001164093,E,sentinel1,
treatment_0004,P10,0.8230152485824302,0.8171506866524869,0.6435291050464366,1.009654585944286,True,False,True,3.0,255.0,0.35020147324925077,E,sentinel1,
treatment_0005,P10,0.8239021661382704,0.7359754922229446,0.6310361403163858,0.8826210961093277,True,False,True,4.0,220.0,0.30556108179433,E,sentinel1,
treatment_0006,P10,0.9377867983982132,0.8335866041825172,0.7707126846653085,0.9623592542569704,True,False,True,5.0,725.0,0.2207812572623154,E,sentinel1,
treatment_0007,P10,0.7176791822474773,0.7110602145654181,0.5941330248592782,0.7687253048541056,True,False,True,5.0,355.0,0.26110518552293527,E,sentinel1,
treatment_0008,P10,0.8775254706067949,0.7677702591372907,0.6646255426320433,0.8199269544846487,True,False,False,5.0,75.0,0.2928072041434882,E,sentinel1,
treatment_0009,P10,0.7442945020013498,0.7045827957996521,0.6793752218779436,0.8286938796893117,True,False,True,5.0,410.0,0.21122998513360056,E,sentinel1,
treatment_0010,P10,0.7599813213008311,0.7434526804611025,0.6669206069308439,0.8617098387602652,True,False,True,5.0,390.0,0.22206042634642678,E,sentinel1,
treatment_0001,P09,1.065786512126449,0.9280308988132989,1.0021065123427781,1.0737361101568033,True,False,True,5.0,980.0,0.2837099445889259,A,sentinel2,
treatment_0002,P09,1.1780803236008168,0.8764605464059368,1.0425412588431828,1.1501182016296998,True,False,False,5.0,980.0,0.3214830563130722,A,sentinel2,
treatment_0003,P09,0.8867318190899232,0.8306391266326371,0.7433654977690758,0.8875496407044042,True,False,True,5.0,980.0,0.37559233031612366,A,sentinel2,
treatment_0004,P09,1.401627522667993,1.0709553185020995,1.2042782676632835,1.3834634500088971,True,False,False,5.0,980.0,0.45192436739832637,A,sentinel2,
treatment_0005,P09,1.1149749630067465,1.1395239132115105,1.029364792559264,1.0611192315128062,True,False,False,5.0,980.0,0.34770618722071855,A,sentinel2,
treatment_0006,P09,1.2208599245034455,0.9525990622217821,0.8762522616813598,1.2050885038943804,True,False,False,5.0,980.0,0.48911788383107907,A,sentinel2,
treatment_0007,P09,1.0783301808305368,0.7719809731391922,0.9443426383339529,1.075578925217712,True,False,False,5.0,980.0,0.28645842711499175,A,sentinel2,
treatment_0008,P09,1.0105450904486102,0.8799279867863671,0.8392384043775168,1.0360448250626777,True,False,True,5.0,980.0,0.3509850754650508,A,sentinel2,
treatment_0009,P09,1.0953733022534666,0.8869415469601325,0.8436253654515877,1.0648195816594304,True,False,False,5.0,980.0,0.3359510955239931,A,sentinel2,
treatment_0010,P09,0.8601443276256818,1.1004646867089387,1.2331285658638205,0.8638122224357729,True,True,True,5.0,980.0,0.3049506511445068,A,sentinel2,
treatment_0001,P10,1.3359585267528038,0.9331284993349356,1.0457790758149537,1.3563818334942839,True,False,True,5.0,980.0,0.2792548448323285,A,sentinel2,
treatment_0002,P10,1.1802142515488834,0.9041789795545138,1.0340431038528994,1.1616535765417284,True,False,False,5.0,980.0,0.31036010289543037,A,sentinel2,
treatment_0003,P10,0.9017465917813543,0.8264395073135677,0.8391738164959586,0.8924874747289326,True,False,False,5.0,980.0,0.3811095603501114,A,sentinel2,
treatment_0004,P10,1.4118388100618835,1.0987386207318373,0.9322832631966691,1.3864279792096637,True,False,False,5.0,980.0,0.4285736360919147,A,sentinel2,
treatment_0005,P10,1.3294044215881275,1.122090338295723,0.936247180489791,1.3135626116502666,True,False,False,5.0,980.0,0.31519987564420276,A,sentinel2,
treatment_0006,P10,1.211482716529732,0.9736252209970947,0.8605805519421318,1.16114871516965,True,False,False,5.0,980.0,0.47651070434540915,A,sentinel2,
