cache,sensor,model,period,site,ratio
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0002,1.4600764500261587
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0002,1.3566584032826972
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0002,1.4761332985547644
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0002,1.4761332985587026
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0002,1.3562040237943644
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0003,1.3883926596751177
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0003,1.3883926597412435
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0003,1.2995073237923882
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0003,1.3558032771578388
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0003,1.3558032771252506
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0003,1.2811566783265838
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0004,1.64195926711695
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0004,1.6419592680097315
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0004,1.505248993381334
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0004,1.6131846230535472
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0004,1.6131846186015406
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0004,1.4970118544206727
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0005,1.587078980993381
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0005,1.5870789810586825
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0005,1.440735690401441
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0005,1.665437045189262
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0005,1.6654370451703986
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0005,1.5316016389486615
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0006,1.348203989518542
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0006,1.3482039891170055
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0006,1.2689184754908045
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0006,1.385036422395205
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0006,1.3850364362568897
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0006,1.2873128426305602
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0007,1.7891330671050973
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0007,1.7891330639222123
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0007,1.6924648464031204
