arm,sensor,treatment_site_id,fit_window,donor,weight,largest_donor_weight,effective_donors,n_train_periods
main,sentinel2,treatment_0004,P01-09,counterfactual_0006_03,0.09028349127069454,0.7261098153804967,1.8197702889761964,9
main,sentinel2,treatment_0004,P01-09,counterfactual_0002_02,0.10510017206873813,0.7261098153804967,1.8197702889761964,9
main,sentinel2,treatment_0004,P01-09,counterfactual_0006_01,0.03757231988124637,0.7261098153804967,1.8197702889761964,9
main,sentinel2,treatment_0004,P01-09,counterfactual_0003_03,0.04093420139882412,0.7261098153804967,1.8197702889761964,9
main,sentinel2,treatment_0005,P01-08,counterfactual_0004_02,0.33893779245017863,0.33893779245017863,3.7590380789637,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0006_02,0.33755528088855213,0.33893779245017863,3.7590380789637,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0004_03,0.1210912372932294,0.33893779245017863,3.7590380789637,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0006_04,0.06916126980598901,0.33893779245017863,3.7590380789637,8
main,sentinel2,treatment_0005,P01-08,counterfactual_0007_01,0.13325441956205084,0.33893779245017863,3.7590380789637,8
main,sentinel2,treatment_0005,P01-09,counterfactual_0004_02,0.2872547740973412,0.3631661496020645,3.919212152253258,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0006_02,0.3631661496020645,0.3631661496020645,3.919212152253258,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0004_03,0.11713929124686115,0.3631661496020645,3.919212152253258,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0006_04,0.11370751508437471,0.3631661496020645,3.919212152253258,9
main,sentinel2,treatment_0005,P01-09,counterfactual_0007_01,0.11873226996935846,0.3631661496020645,3.919212152253258,9
main,sentinel2,treatment_0006,P01-08,counterfactual_0009_01,0.24972292179615954,0.24972292179615954,4.863647194925782,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0007_02,0.14558187959552407,0.24972292179615954,4.863647194925782,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0007_05,0.19663185308811076,0.24972292179615954,4.863647194925782,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0002_04,0.19598602842645946,0.24972292179615954,4.863647194925782,8
main,sentinel2,treatment_0006,P01-08,counterfactual_0002_02,0.21207731709374622,0.24972292179615954,4.863647194925782,8
main,sentinel2,treatment_0006,P01-09,counterfactual_0009_01,0.2801233216859646,0.2801233216859646,4.715434927561315,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0007_02,0.13957705947699448,0.2801233216859646,4.715434927561315,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0007_05,0.22767418479279813,0.2801233216859646,4.715434927561315,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0002_04,0.1688695413095286,0.2801233216859646,4.715434927561315,9
main,sentinel2,treatment_0006,P01-09,counterfactual_0002_02,0.1837558927347142,0.2801233216859646,4.715434927561315,9
main,sentinel2,treatment_0007,P01-08,counterfactual_0005_01,0.5465037469554974,0.5465037469554974,2.838820108487247,8
