arm,sensor,treated,donor,n_matched
C,sentinel2,treatment_0007,counterfactual_0007_02,190
C,sentinel2,treatment_0007,counterfactual_0007_03,173
C,sentinel2,treatment_0007,counterfactual_0007_04,158
C,sentinel2,treatment_0007,counterfactual_0007_05,94
C,sentinel2,treatment_0008,counterfactual_0008_01,148
C,sentinel2,treatment_0008,counterfactual_0008_02,122
C,sentinel2,treatment_0008,counterfactual_0008_03,146
C,sentinel2,treatment_0008,counterfactual_0008_04,90
C,sentinel2,treatment_0008,counterfactual_0008_05,120
C,sentinel2,treatment_0009,counterfactual_0009_01,154
C,sentinel2,treatment_0009,counterfactual_0009_02,176
C,sentinel2,treatment_0009,counterfactual_0009_03,144
C,sentinel2,treatment_0009,counterfactual_0009_04,143
C,sentinel2,treatment_0009,counterfactual_0009_05,144
C,sentinel2,treatment_0010,counterfactual_0010_01,154
C,sentinel2,treatment_0010,counterfactual_0010_02,153
C,sentinel2,treatment_0010,counterfactual_0010_03,117
C,sentinel2,treatment_0010,counterfactual_0010_04,102
C,sentinel2,treatment_0010,counterfactual_0010_05,77
D_min,sentinel1,treatment_0001,counterfactual_0001_01,141
D_min,sentinel1,treatment_0001,counterfactual_0001_02,104
D_min,sentinel1,treatment_0001,counterfactual_0001_03,101
D_min,sentinel1,treatment_0001,counterfactual_0001_04,142
D_min,sentinel1,treatment_0001,counterfactual_0001_05,133
D_min,sentinel1,treatment_0002,counterfactual_0002_01,110
D_min,sentinel1,treatment_0002,counterfactual_0002_02,94
D_min,sentinel1,treatment_0002,counterfactual_0002_03,103
D_min,sentinel1,treatment_0002,counterfactual_0002_04,83
D_min,sentinel1,treatment_0002,counterfactual_0002_05,125
D_min,sentinel1,treatment_0003,counterfactual_0003_01,176
D_min,sentinel1,treatment_0003,counterfactual_0003_02,182
D_min,sentinel1,treatment_0003,counterfactual_0003_03,174
D_min,sentinel1,treatment_0003,counterfactual_0003_04,176
D_min,sentinel1,treatment_0003,counterfactual_0003_05,122
D_min,sentinel1,treatment_0004,counterfactual_0004_01,59
D_min,sentinel1,treatment_0004,counterfactual_0004_02,150
D_min,sentinel1,treatment_0004,counterfactual_0004_03,54
D_min,sentinel1,treatment_0004,counterfactual_0004_04,134
D_min,sentinel1,treatment_0004,counterfactual_0004_05,61
D_min,sentinel1,treatment_0005,counterfactual_0005_01,58
D_min,sentinel1,treatment_0005,counterfactual_0005_02,121
D_min,sentinel1,treatment_0005,counterfactual_0005_03,111
D_min,sentinel1,treatment_0005,counterfactual_0005_04,136
D_min,sentinel1,treatment_0005,counterfactual_0005_05,157
D_min,sentinel1,treatment_0006,counterfactual_0006_01,171
D_min,sentinel1,treatment_0006,counterfactual_0006_02,155
D_min,sentinel1,treatment_0006,counterfactual_0006_03,147
D_min,sentinel1,treatment_0006,counterfactual_0006_04,177
D_min,sentinel1,treatment_0006,counterfactual_0006_05,157
D_min,sentinel1,treatment_0007,counterfactual_0007_01,147
D_min,sentinel1,treatment_0007,counterfactual_0007_02,191
D_min,sentinel1,treatment_0007,counterfactual_0007_03,174
D_min,sentinel1,treatment_0007,counterfactual_0007_04,158
D_min,sentinel1,treatment_0007,counterfactual_0007_05,95
D_min,sentinel1,treatment_0008,counterfactual_0008_01,150
D_min,sentinel1,treatment_0008,counterfactual_0008_02,123
D_min,sentinel1,treatment_0008,counterfactual_0008_03,147
D_min,sentinel1,treatment_0008,counterfactual_0008_04,91
D_min,sentinel1,treatment_0008,counterfactual_0008_05,121
D_min,sentinel1,treatment_0009,counterfactual_0009_01,160
D_min,sentinel1,treatment_0009,counterfactual_0009_02,181
D_min,sentinel1,treatment_0009,counterfactual_0009_03,149
D_min,sentinel1,treatment_0009,counterfactual_0009_04,149
D_min,sentinel1,treatment_0009,counterfactual_0009_05,150
D_min,sentinel1,treatment_0010,counterfactual_0010_01,174
D_min,sentinel1,treatment_0010,counterfactual_0010_02,177
D_min,sentinel1,treatment_0010,counterfactual_0010_03,130
D_min,sentinel1,treatment_0010,counterfactual_0010_04,118
D_min,sentinel1,treatment_0010,counterfactual_0010_05,90
D_min,sentinel2,treatment_0001,counterfactual_0001_01,141
D_min,sentinel2,treatment_0001,counterfactual_0001_02,104
D_min,sentinel2,treatment_0001,counterfactual_0001_03,101
D_min,sentinel2,treatment_0001,counterfactual_0001_04,142
D_min,sentinel2,treatment_0001,counterfactual_0001_05,133
D_min,sentinel2,treatment_0002,counterfactual_0002_01,98
D_min,sentinel2,treatment_0002,counterfactual_0002_02,82
D_min,sentinel2,treatment_0002,counterfactual_0002_03,77
D_min,sentinel2,treatment_0002,counterfactual_0002_04,57
D_min,sentinel2,treatment_0002,counterfactual_0002_05,99
D_min,sentinel2,treatment_0003,counterfactual_0003_01,171
D_min,sentinel2,treatment_0003,counterfactual_0003_02,182
D_min,sentinel2,treatment_0003,counterfactual_0003_03,167
D_min,sentinel2,treatment_0003,counterfactual_0003_04,176
D_min,sentinel2,treatment_0003,counterfactual_0003_05,122
D_min,sentinel2,treatment_0004,counterfactual_0004_01,58
D_min,sentinel2,treatment_0004,counterfactual_0004_02,108
D_min,sentinel2,treatment_0004,counterfactual_0004_03,54
D_min,sentinel2,treatment_0004,counterfactual_0004_04,133
