group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,repr,method,T_0,treatment_site_id
3,4,0.4224,0.422400036610463,1000000.0,False,0.9999,0.9999,4,1,maskdrop,sentinel2,quantile,covmat,4,treatment_0003
3,5,0.0,-1.46442375943964e-07,1000000.0,False,0.9999,0.9999,4,1,maskdrop,sentinel2,quantile,covmat,4,treatment_0003
3,1,0.1183,0.118299999923964,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0003
3,2,0.3362,0.336200000165283,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0003
3,3,0.0326,0.0326000000917614,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0003
3,4,0.4839,0.483899999950414,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0003
3,5,0.029,0.0289999998685781,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0003
4,1,0.0,-6.1975547855215e-08,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0004
4,2,0.3039,0.303900046010193,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0004
4,3,0.0526,0.0526000458969893,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0004
4,4,0.6435,0.643500046195692,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0004
4,5,0.0,-7.61273256150183e-08,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0004
4,1,0.1253,0.125299999710294,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0004
4,2,0.4039,0.403900000311494,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0004
4,3,0.0776,0.0775999994165724,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0004
4,4,0.3193,0.319300000418101,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0004
4,5,0.0738,0.0738000001435394,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0004
5,1,0.0,-9.0252182331339e-07,1000000.0,False,1.0,1.0,3,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0005
5,2,0.4777,0.477700236935614,1000000.0,False,1.0,1.0,3,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0005
5,3,0.1974,0.197400236916752,1000000.0,False,1.0,1.0,3,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0005
5,4,0.3249,0.324900236637754,1000000.0,False,1.0,1.0,3,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0005
5,5,0.0,1.92031703477165e-07,1000000.0,False,1.0,1.0,3,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0005
5,1,0.0,-6.53658008619936e-07,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0005
5,2,0.4074,0.407400163379207,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0005
5,3,0.1932,0.193200163094193,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0005
5,4,0.2877,0.287700163557343,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0005
5,5,0.1117,0.111700163627265,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0005
6,1,0.2896,0.289600102320718,1000000.0,False,1.0,1.0,2,3,maskdrop,sentinel2,quantile,covmat,3,treatment_0006
6,2,0.0,-6.54473294600105e-08,1000000.0,False,1.0,1.0,2,3,maskdrop,sentinel2,quantile,covmat,3,treatment_0006
6,3,0.0,-9.42305435733199e-08,1000000.0,False,1.0,1.0,2,3,maskdrop,sentinel2,quantile,covmat,3,treatment_0006
6,4,0.7104,0.710400102295858,1000000.0,False,1.0,1.0,2,3,maskdrop,sentinel2,quantile,covmat,3,treatment_0006
6,5,0.0,-4.4938702895958e-08,1000000.0,False,1.0,1.0,2,3,maskdrop,sentinel2,quantile,covmat,3,treatment_0006
6,1,0.3135,0.313500064478103,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0006
6,2,0.0,-1.04062412733445e-07,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0006
6,3,0.0,-8.97291891498094e-08,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0006
6,4,0.5896,0.589600064671445,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0006
6,5,0.0969,0.0969000646420545,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,4,treatment_0006
7,1,0.1281,0.163887563082046,1.0,True,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0007
7,2,0.3048,0.308234117497337,1.0,True,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0007
7,3,0.4275,0.443305937203819,1.0,True,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0007
7,4,0.1396,0.141895862992608,1.0,True,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0007
7,5,0.0,-0.0573234807758107,1.0,True,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,5,treatment_0007
7,1,0.2215,0.275409627883167,1e-06,False,0.9999,0.999899999743316,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0007
7,2,0.4351,0.427611276689237,1e-06,False,0.9999,0.999899999743316,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0007
7,3,0.2504,0.285640897576495,1e-06,False,0.9999,0.999899999743316,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0007
7,4,0.0929,0.09204158078154,1e-06,False,0.9999,0.999899999743316,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0007
7,5,0.0,-0.0808033831871224,1e-06,False,0.9999,0.999899999743316,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0007
8,1,0.379,0.37900000009794,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0008
8,2,0.3119,0.31189999987945,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0008
8,3,0.2132,0.213200000203593,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0008
8,4,0.0304,0.0303999999497576,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0008
8,5,0.0655,0.0654999998692599,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0008
8,1,0.2431,0.243078175241267,1e-06,False,0.9999,0.999899999941792,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0008
8,2,0.2531,0.253108814844477,1e-06,False,0.9999,0.999899999941792,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0008
8,3,0.2961,0.296129524126148,1e-06,False,0.9999,0.999899999941792,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0008
8,4,0.0654,0.0654106850056909,1e-06,False,0.9999,0.999899999941792,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0008
8,5,0.1422,0.142172800724208,1e-06,False,0.9999,0.999899999941792,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0008
9,1,0.2378,0.23779999995368,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0009
9,2,0.2614,0.261400000000102,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0009
9,3,0.3235,0.323500000083447,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0009
9,4,0.1359,0.135899999770262,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0009
9,5,0.0414,0.0414000001925088,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0009
9,1,0.4182,0.418195727072019,1e-05,False,0.9999,0.999899999993179,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0009
9,2,0.147,0.146983614056418,1e-05,False,0.9999,0.999899999993179,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0009
9,3,0.1844,0.184366411802234,1e-05,False,0.9999,0.999899999993179,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0009
9,4,0.1065,0.106525896537409,1e-05,False,0.9999,0.999899999993179,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0009
9,5,0.1438,0.143828350525099,1e-05,False,0.9999,0.999899999993179,5,0,maskdrop,sentinel2,quantile,covmat,6,treatment_0009
10,1,0.5022,0.502200091854068,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,5,treatment_0010
10,2,0.2861,0.286100091777233,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,5,treatment_0010
10,3,0.0,-9.31907771936277e-08,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,5,treatment_0010
10,4,0.2117,0.211700091541535,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,5,treatment_0010
10,5,0.0,-1.8198205929035e-07,1000000.0,False,1.0,1.0,3,2,maskdrop,sentinel2,quantile,covmat,5,treatment_0010
10,1,0.3042,0.304200159345226,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,quantile,covmat,6,treatment_0010
10,2,0.3969,0.396900159264451,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,quantile,covmat,6,treatment_0010
10,3,0.0,-9.90364986020833e-08,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,quantile,covmat,6,treatment_0010
10,4,0.299,0.299000159394541,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,quantile,covmat,6,treatment_0010
10,5,0.0,-3.78967719910231e-07,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,quantile,covmat,6,treatment_0010
