fill,sensor,site,group,matched_treatment,n,m,T0,post_period,k,observed,valid_frac,delta_rms,delta_raw_rms,y_post_rms,l0_rms,note,delta_ch1,delta_ch2,delta_ch3,delta_ch4,delta_ch5
chipmean,sentinel1,treatment_0027,treatment,treatment_0027,2,6,10,P11,1,True,1.0,0.17151572436380014,0.21246493218854623,0.618514882982859,0.6049784675368889,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.020694619678144205,-0.008335138964555788,0.018118486751093815,0.012383410556309418,-0.00955187240314752
chipmean,sentinel1,treatment_0027,treatment,treatment_0027,2,6,10,P12,2,True,1.0,0.23792468199141661,0.2726842983724035,0.6225036844426705,0.6096071831175667,,-0.0054578233933249235,-0.018818486480206724,0.038642732046955466,-0.030818527944848132,0.009582075927890224
chipmean,sentinel1,counterfactual_0015_01,counterfactual,treatment_0015,2,6,10,P11,1,True,1.0,0.21070602961508145,0.27532079680472943,0.6260972124487951,0.5967890733059055,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.0009418589726139044,0.012705259867799485,0.023352917758412,0.02226140973706454,-0.011229625048410904
chipmean,sentinel1,counterfactual_0015_01,counterfactual,treatment_0015,2,6,10,P12,2,True,1.0,0.2633361680061426,0.3029590813794906,0.6174831260479942,0.602561967040039,,-0.0383933569935358,0.011507633793096946,0.026969438204947436,-0.04274623262989486,9.78153174789184e-06
chipmean,sentinel1,counterfactual_0015_02,counterfactual,treatment_0015,2,6,10,P11,1,True,1.0,0.19684144542762236,0.25134446850565323,0.6394945330106752,0.6039078332804096,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.007455925357422735,0.040894900618497494,-0.009039627652135649,0.021025374863603813,0.02790892531343854
chipmean,sentinel1,counterfactual_0015_02,counterfactual,treatment_0015,2,6,10,P12,2,True,1.0,0.2619396092725308,0.30307247625220196,0.6217988066190975,0.6070448256740003,,-0.015022130720265753,0.026564206839181335,0.006427133976226192,-0.050351543386759914,0.024945367306903433
chipmean,sentinel1,counterfactual_0015_03,counterfactual,treatment_0015,2,6,10,P11,1,True,1.0,0.2331098949894954,0.28602497723666687,0.6324150794527985,0.6028417590358253,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.017887729640124996,0.018497120817929747,0.003182689387412467,0.022000891473520308,-0.008622284008164132
chipmean,sentinel1,counterfactual_0015_03,counterfactual,treatment_0015,2,6,10,P12,2,True,1.0,0.2608532082959317,0.31000119341878807,0.6254282240247563,0.6059892966102662,,-0.018230066899637132,0.026134261953146422,0.034410311309197354,-0.0594114768778896,0.0021065595062594402
chipmean,sentinel1,counterfactual_0015_04,counterfactual,treatment_0015,2,6,10,P11,1,True,1.0,0.2302131674219795,0.31360929726715703,0.6203707435582394,0.5983502353987042,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.03671589290357243,-0.023703877652823748,0.021347005559004522,0.014405354099282095,-0.008821839646949067
chipmean,sentinel1,counterfactual_0015_04,counterfactual,treatment_0015,2,6,10,P12,2,True,1.0,0.2723593957522388,0.3107358161786467,0.6297531952228967,0.6027347359738678,,-0.005015727111825634,0.0003053474537465834,0.04493795864662353,-0.053054871026184704,0.03326349878661587
chipmean,sentinel1,counterfactual_0015_05,counterfactual,treatment_0015,2,6,10,P11,1,True,1.0,0.1883974443709481,0.24664470622872886,0.623091846595538,0.6060457178445234,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.027711466398994904,-0.01070870261912382,0.021129324823652186,0.012966531968640378,-0.008380741737066915
chipmean,sentinel1,counterfactual_0015_05,counterfactual,treatment_0015,2,6,10,P12,2,True,1.0,0.22974805073376003,0.2671279682990565,0.6105247163001867,0.6103235128860364,,-0.0289522486078916,-0.009340064425647915,-0.004304340208664308,-0.05648237534389301,0.008950430869589574
chipmean,sentinel1,counterfactual_0015_06,counterfactual,treatment_0015,2,6,10,P11,1,True,1.0,0.26012783358678776,0.3231973526679929,0.6268185610179838,0.5838233112027962,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.022448815237931213,0.024209857518682064,0.025787722569494315,0.014815469734565507,0.002304552702215018
