treatment_site_id,sensor,period,band,decoded,collab09_cf,err
treatment_0011,sentinel2,before,NDWI,-0.47214096784591675,-0.7042628526687622,0.23212188482284546
treatment_0012,sentinel2,before,B2,0.09749679267406464,0.032913997769355774,0.06458279490470886
treatment_0012,sentinel2,before,B3,0.12565547227859497,0.05234634131193161,0.07330913096666336
treatment_0012,sentinel2,before,B4,0.11479835212230682,0.03195320442318916,0.08284514769911766
treatment_0012,sentinel2,before,B8,0.3542134165763855,0.34192103147506714,0.01229238510131836
treatment_0012,sentinel2,before,B11,0.21058717370033264,0.19329971075057983,0.017287462949752808
treatment_0012,sentinel2,before,B12,0.15138861536979675,0.0848858430981636,0.06650277227163315
treatment_0012,sentinel2,before,NDVI,0.5104596018791199,0.8300639390945435,-0.3196043372154236
treatment_0012,sentinel2,before,NDWI,-0.47627609968185425,-0.7348251342773438,0.2585490345954895
treatment_0013,sentinel2,before,B2,0.10549309849739075,0.03809814155101776,0.06739495694637299
treatment_0013,sentinel2,before,B3,0.13198675215244293,0.05709259212017059,0.07489416003227234
treatment_0013,sentinel2,before,B4,0.11883068084716797,0.03334957733750343,0.08548110350966454
treatment_0013,sentinel2,before,B8,0.35744085907936096,0.38453617691993713,-0.027095317840576172
treatment_0013,sentinel2,before,B11,0.1984967589378357,0.20268724858760834,-0.004190489649772644
treatment_0013,sentinel2,before,B12,0.14685295522212982,0.08714807778596878,0.05970487743616104
treatment_0013,sentinel2,before,NDVI,0.5009805560112,0.8394771814346313,-0.3384966254234314
treatment_0013,sentinel2,before,NDWI,-0.46062928438186646,-0.74033123254776,0.27970194816589355
treatment_0014,sentinel2,before,B2,0.1072634607553482,0.036730825901031494,0.07053263485431671
treatment_0014,sentinel2,before,B3,0.13264043629169464,0.056709468364715576,0.07593096792697906
treatment_0014,sentinel2,before,B4,0.11973433941602707,0.036370810121297836,0.08336352929472923
treatment_0014,sentinel2,before,B8,0.370836466550827,0.3368449807167053,0.033991485834121704
treatment_0014,sentinel2,before,B11,0.21344687044620514,0.2053845226764679,0.008062347769737244
treatment_0014,sentinel2,before,B12,0.15592512488365173,0.09447174519300461,0.061453379690647125
treatment_0014,sentinel2,before,NDVI,0.5118520855903625,0.8042076826095581,-0.29235559701919556
treatment_0014,sentinel2,before,NDWI,-0.47308778762817383,-0.7093649506568909,0.23627716302871704
treatment_0015,sentinel2,before,B2,0.10260428488254547,0.03275199234485626,0.06985229253768921
treatment_0015,sentinel2,before,B3,0.12850062549114227,0.050959449261426926,0.07754117622971535
treatment_0015,sentinel2,before,B4,0.11834800243377686,0.032714445143938065,0.08563355728983879
treatment_0015,sentinel2,before,B8,0.37205609679222107,0.3295831084251404,0.04247298836708069
treatment_0015,sentinel2,before,B11,0.20673306286334991,0.17428059875965118,0.03245246410369873
treatment_0015,sentinel2,before,B12,0.15215907990932465,0.07802709937095642,0.07413198053836823
treatment_0015,sentinel2,before,NDVI,0.5173347592353821,0.8081755042076111,-0.290840744972229
treatment_0015,sentinel2,before,NDWI,-0.4865572452545166,-0.7183724641799927,0.23181521892547607
treatment_0016,sentinel2,before,B2,0.10083195567131042,0.031010227277874947,0.06982172839343548
treatment_0016,sentinel2,before,B3,0.12704333662986755,0.052309516817331314,0.07473381981253624
treatment_0016,sentinel2,before,B4,0.12007903307676315,0.0329902283847332,0.08708880469202995
treatment_0016,sentinel2,before,B8,0.36729416251182556,0.3461433947086334,0.02115076780319214
treatment_0016,sentinel2,before,B11,0.20784446597099304,0.18759021162986755,0.02025425434112549
treatment_0016,sentinel2,before,B12,0.15274156630039215,0.08582707494497299,0.06691449135541916
treatment_0016,sentinel2,before,NDVI,0.5072155594825745,0.8210310935974121,-0.31381553411483765
treatment_0016,sentinel2,before,NDWI,-0.48598238825798035,-0.732878565788269,0.2468961775302887
treatment_0017,sentinel2,before,B2,0.10154566168785095,0.0296782236546278,0.07186743803322315
treatment_0017,sentinel2,before,B3,0.12698857486248016,0.048548683524131775,0.07843989133834839
treatment_0017,sentinel2,before,B4,0.11343973875045776,0.02904535084962845,0.08439438790082932
treatment_0017,sentinel2,before,B8,0.3568331003189087,0.3527769148349762,0.004056185483932495
treatment_0017,sentinel2,before,B11,0.20669598877429962,0.17454922199249268,0.032146766781806946
