sensor,treatment_site_id,counterfactual_site_id,control_rank,match_quality,matching_score
sentinel1,treatment_0016,counterfactual_0023_01,7,tokenizer_latent_knn,12.576171875
sentinel1,treatment_0016,counterfactual_0019_09,8,tokenizer_latent_knn,12.599175453186035
sentinel1,treatment_0016,counterfactual_0012_09,9,tokenizer_latent_knn,12.602339744567871
sentinel1,treatment_0016,counterfactual_0016_02,10,tokenizer_latent_knn,12.621230125427246
sentinel1,treatment_0017,counterfactual_0022_08,1,tokenizer_latent_knn,12.32413387298584
sentinel1,treatment_0017,counterfactual_0003_04,2,tokenizer_latent_knn,12.456375122070312
sentinel1,treatment_0017,counterfactual_0006_03,3,tokenizer_latent_knn,12.601037979125977
sentinel1,treatment_0017,counterfactual_0024_08,4,tokenizer_latent_knn,12.607290267944336
sentinel1,treatment_0017,counterfactual_0019_01,5,tokenizer_latent_knn,12.621063232421875
sentinel1,treatment_0017,counterfactual_0007_04,6,tokenizer_latent_knn,12.630082130432129
sentinel1,treatment_0017,counterfactual_0012_10,7,tokenizer_latent_knn,12.648934364318848
sentinel1,treatment_0017,counterfactual_0009_07,8,tokenizer_latent_knn,12.67261791229248
sentinel1,treatment_0017,counterfactual_0020_02,9,tokenizer_latent_knn,12.674745559692383
sentinel1,treatment_0017,counterfactual_0019_10,10,tokenizer_latent_knn,12.677955627441406
sentinel1,treatment_0018,counterfactual_0018_03,1,tokenizer_latent_knn,12.714000701904297
sentinel1,treatment_0018,counterfactual_0007_06,2,tokenizer_latent_knn,12.714113235473633
sentinel1,treatment_0018,counterfactual_0005_05,3,tokenizer_latent_knn,12.728554725646973
sentinel1,treatment_0018,counterfactual_0008_01,4,tokenizer_latent_knn,12.731389045715332
sentinel1,treatment_0018,counterfactual_0025_08,5,tokenizer_latent_knn,12.787784576416016
sentinel1,treatment_0018,counterfactual_0003_06,6,tokenizer_latent_knn,12.803321838378906
sentinel1,treatment_0018,counterfactual_0015_08,7,tokenizer_latent_knn,12.842870712280273
